PhraseID ^ ComplexPhraseEnglishText ^ PhraseCount
356 ^ chamber -reward  ^ 9
357 ^ Bozrah -son  ^ 9
358 ^ leg -fair  ^ 9
359 ^ wild grapes -Carmites  ^ 9
360 ^ eat -eat  ^ 8
361 ^ after -fat  ^ 8
362 ^ after -water  ^ 8
363 ^ as long -here  ^ 8
364 ^ wife -not translated  ^ 8
365 ^ after -Beersheba  ^ 8
366 ^ lead -not translated  ^ 8
367 ^ against -heart  ^ 8
368 ^ come -come  ^ 8
369 ^ house -prison  ^ 8
370 ^ swallow ... -not translated  ^ 8
371 ^ harden -not translated  ^ 8
372 ^ tell -not translated  ^ 8
373 ^ after -two  ^ 8
374 ^ fill -hand  ^ 8
375 ^ after -oil  ^ 8
376 ^ daughter -owl  ^ 8
377 ^ accept -not translated  ^ 8
378 ^ search -not translated  ^ 8
379 ^ after -beginning  ^ 8
380 ^ after -inheritance  ^ 8
381 ^ divide -not translated  ^ 8
382 ^ east -sun  ^ 8
383 ^ after -as if  ^ 8
384 ^ after -fear  ^ 8
385 ^ after -death  ^ 8
386 ^ after -in it -not translated  ^ 8
387 ^ take -not translated  ^ 8
388 ^ city -city  ^ 8
389 ^ father -not translated  ^ 8
390 ^ before -ever  ^ 8
391 ^ forsake -not translated  ^ 8
392 ^ after -pit  ^ 8
393 ^ after -nation  ^ 8
394 ^ ...well -against  ^ 8
395 ^ after -far  ^ 8
396 ^ dwell -cause  ^ 8
397 ^ divorcement -Ahithophel  ^ 8
398 ^ Hadadezer -wall  ^ 8
399 ^ Gederothaim -wall  ^ 8
400 ^ weapon -Mezahab  ^ 8
401 ^ weapon -strove  ^ 8
402 ^ command -against  ^ 7
403 ^ brethren -not translated  ^ 7
404 ^ etc)...out -not translated  ^ 7
405 ^ scatter -not translated  ^ 7
406 ^ nine -etc to nineteen  ^ 7
407 ^ after -bowels  ^ 7
408 ^ what -after -hath  ^ 7
409 ^ become -become  ^ 7
410 ^ etc...) up -before  ^ 7
411 ^ turn -not translated  ^ 7
412 ^ against -because  ^ 7
413 ^ open -not translated  ^ 7
414 ^ times past + 08032 -times past + 08543  ^ 7
415 ^ kid -goat  ^ 7
416 ^ man -as if  ^ 7
417 ^ spread -not translated  ^ 7
418 ^ land -not translated  ^ 7
419 ^ sin -not translated  ^ 7
420 ^ ...sick -not translated  ^ 7
421 ^ array -not translated  ^ 7
422 ^ after -tabernacle(s)  ^ 7
423 ^ after -offering...by fire -LORD  ^ 7
424 ^ wave -not translated  ^ 7
425 ^ clean -not translated  ^ 7
426 ^ after -uncleanness  ^ 7
427 ^ shut -not translated  ^ 7
428 ^ after -possession(s)  ^ 7
429 ^ after -silver  ^ 7
430 ^ give -give  ^ 7
431 ^ ....out -before  ^ 7
432 ^ bless -bless  ^ 7
433 ^ as long -how  ^ 7
434 ^ after -river  ^ 7
435 ^ after -Aroer  ^ 7
436 ^ drive -not translated  ^ 7
437 ^ after -fierce  ^ 7
438 ^ after -word  ^ 7
439 ^ after -as  ^ 7
440 ^ after -Bethlehem -Judah  ^ 7
441 ^ after -spoil  ^ 7
442 ^ redeem -not translated  ^ 7
443 ^ after -wicked  ^ 7
444 ^ after -side  ^ 7
445 ^ after -Samaria  ^ 7
446 ^ after -priest  ^ 7
447 ^ after -time  ^ 7
448 ^ after -trouble  ^ 7
449 ^ all -misc -this  ^ 7
450 ^ idol -wall  ^ 7
451 ^ extinct -bowl  ^ 7
452 ^ gold -fade  ^ 7
453 ^ Bozrah -buy  ^ 7
454 ^ after -smite  ^ 6
455 ^ good -eye  ^ 6
456 ^ magnify -not translated  ^ 6
457 ^ touch -after  ^ 6
458 ^ heal -not translated  ^ 6
459 ^ as if -after -in it  ^ 6
460 ^ after -sleep  ^ 6
461 ^ after -good  ^ 6
462 ^ overtake -not translated  ^ 6
463 ^ after -speak  ^ 6
464 ^ after -neighbour  ^ 6
465 ^ after -dwell  ^ 6
466 ^ evil -eye  ^ 6
467 ^ man -Egyptian  ^ 6
468 ^ scribe -not translated  ^ 6
469 ^ know -not translated  ^ 6
470 ^ dwell -not translated  ^ 6
471 ^ sow -not translated  ^ 6
472 ^ number -number  ^ 6
473 ^ intreat -after  ^ 6
474 ^ put -heart  ^ 6
475 ^ bread -before  ^ 6
476 ^ after -beneath  ^ 6
477 ^ overlay -not translated  ^ 6
478 ^ work -needlework + 04639  ^ 6
479 ^ seethe -not translated  ^ 6
480 ^ after -half  ^ 6
481 ^ misc -neck  ^ 6
482 ^ ...) over -voice  ^ 6
483 ^ after -one  ^ 6
484 ^ overtake -hand  ^ 6
