first word id ^ subclause ^ subclause function ^ length
157 ^ 1:10.w13 ^ predicator ^ 1
158 ^ 1:10.w14-w15 ^ complement ^ 2
160 ^ 1:11.w1 ^ subject ^ 1
161 ^ 1:11.w2 ^ conjunction ^ 1
162 ^ 1:11.w3 ^ predicator ^ 1
163 ^ 1:11.w4-w5 ^ complement ^ 2
165 ^ 1:11.w6-w9 ^ complement ^ 4
169 ^ 1:11.w10-w13 ^ adjunct ^ 4
173 ^ 1:12.w1 --> 1:12.w3-w5 ^ adjunct ^ 1
174 ^ 1:12.w2 ^ conjunction ^ 1
175 ^ 1:12.w3-w5 ^ conjunction ^ 3
178 ^ 1:12.w6 ^ subject ^ 1
179 ^ 1:12.w7 ^ predicator ^ 1
180 ^ 1:12.w8-w9 ^ complement ^ 2
182 ^ 1:12.w10 ^ subject ^ 1
183 ^ 1:12.w11 ^ conjunction ^ 1
184 ^ 1:12.w12 ^ predicator ^ 1
185 ^ 1:12.w13-w14 ^ complement ^ 2
187 ^ 1:13.w1 ^ subject ^ 1
188 ^ 1:13.w2 ^ conjunction ^ 1
189 ^ 1:13.w3 ^ predicator ^ 1
190 ^ 1:13.w4-w5 ^ complement ^ 2
192 ^ 1:13.w6 ^ subject ^ 1
193 ^ 1:13.w7 ^ conjunction ^ 1
194 ^ 1:13.w8 ^ predicator ^ 1
195 ^ 1:13.w9-w10 ^ complement ^ 2
197 ^ 1:13.w11 ^ subject ^ 1
198 ^ 1:13.w12 ^ conjunction ^ 1
199 ^ 1:13.w13 ^ predicator ^ 1
200 ^ 1:13.w14-w15 ^ complement ^ 2
202 ^ 1:14.w1 ^ subject ^ 1
203 ^ 1:14.w2 ^ conjunction ^ 1
204 ^ 1:14.w3 ^ predicator ^ 1
205 ^ 1:14.w4-w5 ^ complement ^ 2
207 ^ 1:14.w6 ^ subject ^ 1
208 ^ 1:14.w7 ^ conjunction ^ 1
209 ^ 1:14.w8 ^ predicator ^ 1
210 ^ 1:14.w9-w10 ^ complement ^ 2
212 ^ 1:14.w11 ^ subject ^ 1
213 ^ 1:14.w12 ^ conjunction ^ 1
214 ^ 1:14.w13 ^ predicator ^ 1
215 ^ 1:14.w14-w15 ^ complement ^ 2
217 ^ 1:15.w1 ^ subject ^ 1
218 ^ 1:15.w2 ^ conjunction ^ 1
219 ^ 1:15.w3 ^ predicator ^ 1
220 ^ 1:15.w4-w5 ^ complement ^ 2
222 ^ 1:15.w6 ^ subject ^ 1
223 ^ 1:15.w7 ^ conjunction ^ 1
224 ^ 1:15.w8 ^ predicator ^ 1
225 ^ 1:15.w9-w10 ^ complement ^ 2
227 ^ 1:15.w11 ^ subject ^ 1
228 ^ 1:15.w12 ^ conjunction ^ 1
229 ^ 1:15.w13 ^ predicator ^ 1
230 ^ 1:15.w14-w15 ^ complement ^ 2
232 ^ 1:16.w1 ^ subject ^ 1
233 ^ 1:16.w2 ^ conjunction ^ 1
234 ^ 1:16.w3 ^ predicator ^ 1
235 ^ 1:16.w4-w8 ^ complement ^ 2
237 ^ 1:16.w6-w8 ^ definer ^ 3
240 ^ 1:16.w9-w10 ^ adjunct ^ 2
242 ^ 1:16.w11 ^ predicator ^ 1
243 ^ 1:16.w12-w15 ^ subject ^ 1
244 ^ 1:16.w13-w14 ^ predicator ^ 2
246 ^ 1:16.w15 ^ complement ^ 1
247 ^ 1:17.w1 --> 1:17.w3-w8 ^ subject ^ 1
248 ^ 1:17.w2 ^ conjunction ^ 1
249 ^ 1:17.w3-w8 ^ conjunction ^ 2
