Clause^ClauseFunction
40.1:23.w2-w6^subject subject subject subject subject 
40.1:23.w7-w9^subject subject subject 
40.1:23.w10-w15^subject subject subject subject subject subject 
40.1:23.w16-w22^subject subject subject subject subject subject subject 
40.1:23.w18_2^subject 
40.1:23.w19-w22^subject subject subject subject 
40.1:24.w1_2^adjunct 
40.1:24.w9-w14^adjunct adjunct adjunct adjunct adjunct adjunct 
40.1:24.w15-w19^adjunct adjunct adjunct adjunct adjunct 
40.1:25.w1-w8^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.1:25.w5-w8^adjunct adjunct adjunct adjunct 
40.1:25.w9-w14^adjunct adjunct adjunct adjunct adjunct adjunct 
40.1:3.w1-w11^           
40.1:3.w12-w16^     
40.1:3.w17-w21^     
40.1:4.w1-w5^     
40.1:4.w6-w10^     
40.1:4.w11-w15^     
40.1:5.w1-w8^        
40.1:5.w9-w16^        
40.1:5.w17-w21^     
40.1:6.w1-w7^       
40.1:6.w8-w16^         
40.1:7.w1-w5^     
40.1:7.w6-w10^     
40.1:7.w11-w15^     
40.1:8.w1-w5^     
40.1:8.w6-w10^     
40.1:8.w11-w15^     
40.1:9.w1-w5^     
40.1:9.w6-w10^     
40.1:9.w11-w15^     
40.10:1.w1-w11^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:1.w2-w6^adjunct adjunct adjunct adjunct adjunct 
40.10:1.w12-w14^adjunct adjunct adjunct 
40.10:1.w15-w21^adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:10.w1-w4^complement complement complement complement 
40.10:10.w5-w11^complement complement complement complement complement complement complement 
40.10:10.w12-w18^complement complement complement complement complement complement complement 
40.10:10.w12^complement 
40.10:11.w1-w8^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:11.w1-w2_2^adjunct adjunct 
40.10:11.w10-w14^adjunct adjunct adjunct adjunct adjunct 
40.10:11.w15-w16^adjunct adjunct 
40.10:11.w17-w19^adjunct adjunct adjunct 
40.10:12.w1_2^adjunct 
40.10:13.w1-w7^adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:13.w8-w13^adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:13.w14-w18^adjunct adjunct adjunct adjunct adjunct 
40.10:13.w19-w24^adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:14.w1-w6^adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:14.w7-w11^adjunct adjunct adjunct adjunct adjunct 
40.10:14.w12-w19^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:15.w1-w3^adjunct adjunct adjunct 
40.10:15.w4-w12^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:15.w4^adjunct 
40.10:15.w13-w16^adjunct adjunct adjunct adjunct 
40.10:16.w1_2^adjunct 
40.10:16.w2-w4^adjunct adjunct adjunct 
40.10:16.w5-w9^adjunct adjunct adjunct adjunct adjunct 
40.10:16.w10-w12^adjunct adjunct adjunct 
40.10:16.w13-w15^adjunct adjunct adjunct 
40.10:16.w16-w17^adjunct adjunct 
40.10:16.w18-w20^adjunct adjunct adjunct 
40.10:17.w1-w5^adjunct adjunct adjunct adjunct adjunct 
40.10:17.w6-w10^adjunct adjunct adjunct adjunct adjunct 
40.10:17.w11-w17^adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:18.w1-w15^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:18.w1-w3^adjunct adjunct adjunct 
40.10:19.w1-w4^adjunct adjunct adjunct adjunct 
40.10:19.w5-w10^adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:19.w7_2^adjunct 
40.10:19.w8-w10^adjunct adjunct adjunct 
40.10:19.w11-w19^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:19.w18-w19^adjunct adjunct 
40.10:2.w1-w8^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:2.w1_2^adjunct 
40.10:2.w9-w13^adjunct adjunct adjunct adjunct adjunct 
40.10:2.w11-w13^adjunct adjunct adjunct 
40.10:2.w14-4.w11^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:20.w1-w6^adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:20.w5-w6_2^adjunct adjunct 
40.10:20.w7-w16^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:20.w13-w16^adjunct adjunct adjunct adjunct 
40.10:21.w1-w6^adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:21.w7-w9^adjunct adjunct adjunct 
40.10:21.w10-w14^adjunct adjunct adjunct adjunct adjunct 
40.10:21.w15-w17^adjunct adjunct adjunct 
40.10:22.w1-w9^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:22.w3-w9^adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:22.w10_3^subject 
40.10:22.w15-w16^subject subject 
40.10:23.w1-w8^subject subject subject subject subject subject subject subject 
40.10:23.w9-w12^subject subject subject subject 
40.10:23.w13-w16^subject subject subject subject 
40.10:23.w17-w23^subject subject subject subject subject subject subject 
40.10:23.w24-w30^subject subject subject subject subject subject subject 
40.10:24.w1-w6^subject subject subject subject subject subject 
40.10:24.w7-w12^subject subject subject subject subject subject 
40.10:25.w1-w9^subject subject subject subject subject subject subject subject subject 
40.10:25.w4-w9^subject subject subject subject subject subject 
40.10:25.w10-w16^subject subject subject subject subject subject subject 
40.10:25.w17-w21^subject subject subject subject subject 
40.10:25.w22-w26^subject subject subject subject subject 
40.10:26.w1-w4^subject subject subject subject 
40.10:26.w5-w8^subject subject subject subject 
40.10:26.w8_2^subject 
40.10:26.w9-w11^subject subject subject 
40.10:26.w12-w13^subject subject 
40.10:26.w14-w16^subject subject subject 
40.10:27.w1-w6^complement complement complement complement complement complement 
40.10:27.w11-w20^complement complement complement complement complement complement complement complement complement complement 
40.10:27.w12-w16^complement complement complement complement complement 
40.10:28.w1-w14^complement complement complement complement complement complement complement complement complement complement complement complement complement complement 
40.10:28.w4-w8^complement complement complement complement complement 
40.10:28.w9-w14^complement complement complement complement complement complement 
40.10:28.w9^complement 
40.10:28.w14_2^complement 
40.10:28.w15-w26^complement complement complement complement complement complement complement complement complement complement complement complement 
40.10:28.w18-w26^complement complement complement complement complement complement complement complement complement 
40.10:28.w20-w26^complement complement complement complement complement complement complement 
40.10:29.w1-w5^complement complement complement complement complement 
40.10:29.w6-w18^complement complement complement complement complement complement complement complement complement complement complement complement complement 
40.10:30.w1-w10^complement complement complement complement complement complement complement complement complement complement 
40.10:30.w1_2^complement 
40.10:30.w9_2^complement 
40.10:31.w1-w3^complement complement complement 
40.10:31.w4-w7^complement complement complement complement 
40.10:32.w1-w9^complement complement complement complement complement complement complement complement complement 
40.10:32.w1^complement 
40.10:32.w10-w21^complement complement complement complement complement complement complement complement complement complement complement complement 
40.10:33.w1-w8^complement complement complement complement complement complement complement complement 
40.10:33.w9-w19^complement complement complement complement complement complement complement complement complement complement complement 
40.10:34.w1-w2^complement complement 
40.10:34.w3-w9^complement complement complement complement complement complement complement 
40.10:34.w5-w9^complement complement complement complement complement 
40.10:34.w10-w13^complement complement complement complement 
40.10:34.w12-w13^complement complement 
40.10:34.w14-w15^complement complement 
40.10:34.w15_2^complement 
40.10:35.w1-w20^complement complement complement complement complement complement complement complement complement complement complement complement complement complement complement complement complement complement complement complement 
40.10:35.w3-w8^complement complement complement complement complement complement 
40.10:35.w9-w14^complement complement complement complement complement complement 
40.10:35.w15-w20^complement complement complement complement complement complement 
40.10:36.w1-w7^complement complement complement complement complement complement complement 
40.10:37.w1-w7^subject subject subject subject subject subject subject 
40.10:37.w12-w23^subject subject subject subject subject subject subject subject subject subject subject subject 
40.10:37.w13-w19^subject subject subject subject subject subject subject 
40.10:38.w1-w15^subject subject subject subject subject subject subject subject subject subject subject subject subject subject subject 
40.10:38.w2-w7^subject subject subject subject subject subject 
40.10:38.w8-w11^subject subject subject subject 
40.10:39.w1-w5^subject subject subject subject subject 
40.10:39.w8-w17^subject subject subject subject subject subject subject subject subject subject 
40.10:39.w9-w15^subject subject subject subject subject subject subject 
40.10:4.w8-w11^adjunct adjunct adjunct adjunct 
40.10:4.w8^adjunct 
40.10:40.w1-w3^subject subject subject 
40.10:40.w6-w13^subject subject subject subject subject subject subject subject 
40.10:40.w7-w9^subject subject subject 
40.10:40.w7^subject 
40.10:40.w11-w13^subject subject subject 
40.10:41.w1-w6^subject subject subject subject subject subject 
40.10:41.w10-w19^subject subject subject subject subject subject subject subject subject subject 
40.10:41.w11-w16^subject subject subject subject subject subject 
40.10:42.w1-w14^subject subject subject subject subject subject subject subject subject subject subject subject subject subject 
40.10:42.w15-w17^subject subject subject 
40.10:42.w18-w23^subject subject subject subject subject subject 
40.10:5.w1-w9^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:5.w7-w9^adjunct adjunct adjunct 
40.10:5.w9_2^adjunct 
40.10:5.w10-w14^adjunct adjunct adjunct adjunct adjunct 
40.10:5.w15-w20^adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:6.w1-w10^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:6.w7-w8_2^adjunct adjunct 
40.10:7.w1_2^adjunct 
40.10:7.w4_2^adjunct 
40.10:7.w5-w10^adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:8.w1_2^complement 
40.10:8.w3-w4^complement complement 
40.10:8.w5-w6^complement complement 
40.10:8.w7-w8^complement complement 
40.10:8.w9-w10^complement complement 
40.10:8.w11-w12^complement complement 
40.10:9.w1-w11^complement complement complement complement complement complement complement complement complement complement complement 
40.11:1.w1-w2^subject subject 
40.11:1.w3-w11^subject subject subject subject subject subject subject subject subject 
40.11:1.w7-w11^subject subject subject subject subject 
40.11:1.w12-w21^subject subject subject subject subject subject subject subject subject subject 
40.11:1.w14-w15_2^subject subject 
40.11:1.w16-w21^subject subject subject subject subject subject 
40.11:10.w1-w5^subject subject subject subject subject 
40.11:10.w3-w5^subject subject subject 
40.11:10.w6_2^subject 
40.11:10.w7-w14^subject subject subject subject subject subject subject subject 
40.11:10.w15-w21^subject subject subject subject subject subject subject 
40.11:11.w1-w3^subject subject subject 
40.11:11.w4-w12^subject subject subject subject subject subject subject subject subject 
40.11:11.w13-w23^subject subject subject subject subject subject subject subject subject subject subject 
40.11:11.w13^subject 
40.11:12.w1-w14^subject subject subject subject subject subject subject subject subject subject subject subject subject subject 
40.11:12.w1^subject 
40.11:12.w15-w18^subject subject subject subject 
40.11:13.w1-w10^subject subject subject subject subject subject subject subject subject subject 
40.11:13.w1_2^subject 
40.11:14.w1-w4^subject subject subject subject 
40.11:14.w4_2^subject 
40.11:14.w5-w10^subject subject subject subject subject subject 
40.11:14.w8-w10^subject subject subject 
40.11:14.w10_2^subject 
40.11:15.w1-w3^subject subject subject 
40.11:16.w1-w6^subject subject subject subject subject subject 
40.11:16.w7-w13^subject subject subject subject subject subject subject 
40.11:16.w7^subject 
40.11:16.w10-w13^subject subject subject subject 
40.11:16.w14-17.w1^subject subject subject subject subject 
40.11:16.w15-w17^subject subject subject 
40.11:17.w2-w3^subject subject 
40.11:17.w4-w6^subject subject subject 
40.11:17.w7_2^subject 
40.11:17.w8-w10^subject subject subject 
40.11:18.w1-w7^subject subject subject subject subject subject subject 
40.11:18.w4-w5^subject subject 
40.11:18.w6-w7^subject subject 
40.11:18.w8-w9^subject subject 
40.11:18.w10-w11^subject subject 
40.11:19.w1-w8^subject subject subject subject subject subject subject subject 
40.11:19.w6_2^subject 
40.11:19.w7-w8^subject subject 
40.11:19.w9-w10^subject subject 
40.11:19.w11_2^subject 
40.11:19.w12-w19_2^subject subject subject subject subject subject subject subject 
40.11:19.w16^subject 
40.11:19.w20-w27^subject subject subject subject subject subject subject subject 
40.11:2.w1-3.w2^subject subject subject subject subject subject subject subject subject subject subject subject subject subject subject subject subject subject 
40.11:2.w1^subject 
40.11:2.w4-w11^subject subject subject subject subject subject subject subject 
40.11:2.w12-w16^subject subject subject subject subject 
40.11:20.w1-w12^subject subject subject subject subject subject subject subject subject subject subject subject 
40.11:20.w3-w12^subject subject subject subject subject subject subject subject subject subject 
40.11:20.w6-w12^subject subject subject subject subject subject subject 
40.11:20.w13-w15^subject subject subject 
40.11:21.w1-w3^subject subject subject 
40.11:21.w4-w6^subject subject subject 
40.11:21.w7-w19^subject subject subject subject subject subject subject subject subject subject subject subject subject 
40.11:21.w16-w19^subject subject subject subject 
40.11:21.w20-w26^subject subject subject subject subject subject subject 
40.11:22.w1-w3^subject subject subject 
40.11:22.w4-w11^subject subject subject subject subject subject subject subject 
40.11:22.w12-w13^subject subject 
40.11:23.w1-w7^subject subject subject subject subject subject subject 
40.11:23.w8-w10^subject subject subject 
40.11:23.w11-w21^subject subject subject subject subject subject subject subject subject subject subject 
40.11:23.w18-w21^subject subject subject subject 
40.11:23.w22-w26^subject subject subject subject subject 
40.11:24.w1-w3^subject subject subject 
40.11:24.w4-w11^subject subject subject subject subject subject subject subject 
40.11:24.w12-w13^subject subject 
40.11:25.w1-w8^subject subject subject subject subject subject subject subject 
40.11:25.w5_2^subject 
40.11:25.w9-w17^subject subject subject subject subject subject subject subject subject 
40.11:25.w18-w24^subject subject subject subject subject subject subject 
40.11:25.w25-w28^subject subject subject subject 
40.11:26.w1-w3^subject subject subject 
40.11:26.w4-w9^subject subject subject subject subject subject 
40.11:27.w1-w7^subject subject subject subject subject subject subject 
40.11:27.w8-w12^subject subject subject subject subject 
40.11:27.w13-w16^subject subject subject subject 
40.11:27.w17-w21^subject subject subject subject subject 
40.11:27.w22-w25^subject subject subject subject 
40.11:27.w26-w32^subject subject subject subject subject subject subject 
40.11:27.w27-w32^subject subject subject subject subject subject 
40.11:27.w32_2^subject 
40.11:28.w1-w8^subject subject subject subject subject subject subject subject 
40.11:28.w5-w6_2^subject subject 
40.11:28.w7-w8^subject subject 
40.11:28.w9-w11^subject subject subject 
40.11:29.w1-w6^subject subject subject subject subject subject 
40.11:29.w7-w10^subject subject subject subject 
40.11:29.w11-w17^subject subject subject subject subject subject subject 
40.11:29.w12_2^subject 
40.11:29.w18-w23^subject subject subject subject subject subject 
40.11:3.w3-w6^subject subject subject subject 
40.11:3.w5-w6_2^subject subject 
40.11:3.w7-w9^subject subject subject 
40.11:30.w1-w5^subject subject subject subject subject 
40.11:30.w1^subject 
40.11:30.w6-w11^subject subject subject subject subject subject 
40.11:4.w1-w6^subject subject subject subject subject subject 
40.11:4.w2_2^subject 
40.11:4.w7_2^adjunct 
40.11:4.w10-w11^adjunct adjunct 
40.11:4.w12-w13^adjunct adjunct 
40.11:5.w1-w2^adjunct adjunct 
40.11:5.w3-w5^adjunct adjunct adjunct 
40.11:5.w6-w7^adjunct adjunct 
40.11:5.w8-w10^adjunct adjunct adjunct 
40.11:5.w11-w13^adjunct adjunct adjunct 
40.11:5.w14-w16^adjunct adjunct adjunct 
40.11:6.w1-w9^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.11:6.w4-w9^adjunct adjunct adjunct adjunct adjunct adjunct 
40.11:7.w1-w3^adjunct adjunct adjunct 
40.11:7.w4-w11^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.11:7.w7-w11^adjunct adjunct adjunct adjunct adjunct 
40.11:7.w12_2^adjunct 
40.11:7.w18-w21_2^adjunct adjunct adjunct adjunct 
40.11:7.w19-w21^adjunct adjunct adjunct 
40.11:8.w1-w4^adjunct adjunct adjunct adjunct 
40.11:8.w2_2^adjunct 
40.11:8.w5-w8_2^adjunct adjunct adjunct adjunct 
40.11:8.w6-w8^adjunct adjunct adjunct 
40.11:8.w9_2^adjunct 
40.11:8.w10-w13^subject subject subject subject 
40.11:8.w10^subject 
40.11:9.w1-w4^subject subject subject subject 
40.11:9.w2_2^subject 
40.11:9.w5_2^subject 
40.11:9.w6-w8^subject subject subject 
40.11:9.w9-w11^subject subject subject 
40.12:1.w1-w12^subject subject subject subject subject subject subject subject subject subject subject subject 
40.12:1.w13-w17^subject subject subject subject subject 
40.12:1.w13^subject 
40.12:1.w18-w23^subject subject subject subject subject subject 
40.12:1.w20-w21^subject subject 
40.12:1.w22-w23^subject subject 
40.12:10.w1-w2^complement complement 
40.12:10.w3-w6_2^complement complement complement complement 
40.12:10.w4-w6^complement complement complement 
40.12:10.w4^complement 
40.12:10.w7-w10^complement complement complement complement 
40.12:10.w10_2^complement 
40.12:10.w11-w15^complement complement complement complement complement 
40.12:10.w15_2^complement 
40.12:10.w16-w18^complement complement complement 
40.12:11.w1-w4^complement complement complement complement 
40.12:11.w5-w9^complement complement complement complement complement 
40.12:11.w5^complement 
40.12:11.w10-w13^complement complement complement complement 
40.12:11.w14-w21^complement complement complement complement complement complement complement complement 
40.12:11.w22-w24^complement complement complement 
40.12:11.w25-w26^complement complement 
40.12:12.w1-w5^complement complement complement complement complement 
40.12:12.w6-w11^complement complement complement complement complement complement 
40.12:12.w10-w11^complement complement 
40.12:13.w1-w4^complement complement complement complement 
40.12:13.w5-w8^complement complement complement complement 
40.12:13.w9-w10^complement complement 
40.12:13.w11-w16^complement complement complement complement complement complement 
40.12:14.w1_2^adjunct 
40.12:14.w9-w11^adjunct adjunct adjunct 
40.12:15.w1-w6^adjunct adjunct adjunct adjunct adjunct adjunct 
40.12:15.w1^adjunct 
40.12:15.w4_2^adjunct 
40.12:15.w7-w11^adjunct adjunct adjunct adjunct adjunct 
40.12:15.w12-w15^adjunct adjunct adjunct adjunct 
40.12:16.w1-w3^adjunct adjunct adjunct 
40.12:16.w4-w8^adjunct adjunct adjunct adjunct adjunct 
40.12:17.w1-w9^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.12:17.w3-w9^adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.12:17.w9_2^adjunct 
40.12:18.w1_2^adjunct 
40.12:18.w2-w4_2^adjunct adjunct adjunct 
40.12:18.w5-w6^adjunct adjunct 
40.12:18.w7-w9_2^adjunct adjunct adjunct 
40.12:18.w10-w15^adjunct adjunct adjunct adjunct adjunct adjunct 
40.12:18.w16-w21^adjunct adjunct adjunct adjunct adjunct adjunct 
40.12:18.w22-w26^adjunct adjunct adjunct adjunct adjunct 
40.12:19.w1-w2^adjunct adjunct 
40.12:19.w3-w4^adjunct adjunct 
40.12:19.w5-w13^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.12:2.w1-w6^subject subject subject subject subject subject 
40.12:2.w1^subject 
40.12:2.w4_2^subject 
40.12:2.w7_2^subject 
40.12:2.w8-w17^subject subject subject subject subject subject subject subject subject subject 
40.12:2.w12_2^subject 
40.12:20.w1-w4^adjunct adjunct adjunct adjunct 
40.12:20.w2_2^adjunct 
40.12:20.w5-w9^adjunct adjunct adjunct adjunct adjunct 
40.12:20.w7_2^adjunct 
40.12:20.w10-w16^adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.12:21.w1-w6^adjunct adjunct adjunct adjunct adjunct adjunct 
40.12:22.w1-w7^adjunct adjunct adjunct definer definer definer definer 
40.12:22.w4_2^definer 
40.12:22.w8-w10^definer definer definer 
40.12:22.w11-w14^definer definer definer definer 
40.12:22.w15-w16^definer definer 
40.12:23.w1-w5^definer definer definer definer definer 
40.12:23.w6-w7^definer definer 
40.12:23.w8-w13^definer definer definer definer definer definer 
40.12:24.w1-w5^definer definer definer definer definer 
40.12:24.w1^definer 
40.12:24.w4_2^definer 
40.12:24.w6-w10^definer definer definer definer definer 
40.12:24.w11-w18^definer definer definer definer definer definer definer definer 
40.12:25.w1_2^adjunct 
40.12:25.w8-w13^adjunct adjunct adjunct adjunct adjunct adjunct 
40.12:25.w10-w12^adjunct adjunct adjunct 
40.12:25.w14-w23^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.12:25.w19-w21^adjunct adjunct adjunct 
40.12:26.w1-w7^adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.12:26.w8-w10^adjunct adjunct adjunct 
40.12:26.w11-w16^adjunct adjunct adjunct adjunct adjunct adjunct 
40.12:27.w1-w8^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.12:27.w9-w14^adjunct adjunct adjunct adjunct adjunct adjunct 
40.12:27.w15-w20^adjunct adjunct adjunct adjunct adjunct adjunct 
40.12:27.w18^adjunct 
40.12:28.w1-w9^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.12:28.w10-w17^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.12:29.w1-w15^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.12:29.w5-w10^adjunct adjunct adjunct adjunct adjunct adjunct 
40.12:29.w11-w15^adjunct adjunct adjunct adjunct adjunct 
40.12:29.w16-w21^adjunct adjunct adjunct adjunct adjunct adjunct 
40.12:29.w22-w27^adjunct adjunct adjunct adjunct adjunct adjunct 
40.12:3.w1-w4^subject subject subject subject 
40.12:3.w5-w6^subject subject 
40.12:3.w7-w9^subject subject subject 
40.12:3.w10-w11^subject subject 
40.12:3.w12-w15^subject subject subject subject 
40.12:30.w1-w5^subject subject subject subject subject 
40.12:30.w1^subject 
40.12:30.w9-w15^subject subject subject subject subject subject subject 
40.12:30.w10-w14^subject subject subject subject subject 
40.12:30.w10^subject 
40.12:31.w1-w4^subject subject subject subject 
40.12:31.w5-w11^subject subject subject subject subject subject subject 
40.12:31.w12-w18^subject subject subject subject subject subject subject 
40.12:31.w12^subject 
40.12:32.w1-w10^subject subject subject subject subject subject subject subject subject subject 
40.12:32.w11-w12^subject subject 
40.12:32.w13-w21^subject subject subject subject subject subject subject subject subject 
40.12:32.w22-w33^subject subject subject subject subject subject subject subject subject subject subject subject 
40.12:32.w30-w33_2^subject subject subject subject 
40.12:33.w1-w5^subject subject subject subject subject 
40.12:33.w6-w10^subject subject subject subject subject 
40.12:33.w11-w15^subject subject subject subject subject 
40.12:33.w16-w20^subject subject subject subject subject 
40.12:33.w21-w27^subject subject subject subject subject subject subject 
40.12:33.w21^subject 
40.12:34.w1-w8^subject subject subject subject subject subject subject subject 
40.12:34.w5-w6^subject subject 
40.12:34.w7-w8^subject subject 
40.12:34.w9-w17^subject subject subject subject subject subject subject subject subject 
40.12:34.w9^subject 
40.12:35.w1-w9^subject subject subject subject subject subject subject subject subject 
40.12:35.w10-w19^subject subject subject subject subject subject subject subject subject subject 
40.12:36.w1-w3^subject subject subject 
40.12:36.w4-w11^subject subject subject subject subject subject subject subject 
40.12:36.w8-w11^subject subject subject subject 
40.12:36.w12-w18^subject subject subject subject subject subject subject 
40.12:37.w1-w6^subject subject subject subject subject subject 
40.12:37.w1^subject 
40.12:37.w7-w12^subject subject subject subject subject subject 
40.12:38.w1-w9^subject subject subject subject subject subject subject subject subject 
40.12:38.w9_2^subject 
40.12:38.w10-w15^subject subject subject subject subject subject 
40.12:38.w12-w15^subject subject subject subject 
40.12:39.w1-w5^subject subject subject subject subject 
40.12:39.w3_2^subject 
40.12:39.w6-w11^subject subject subject subject subject subject 
40.12:39.w12-w16^subject subject subject subject subject 
40.12:39.w17-w23^subject subject subject subject subject subject subject 
40.12:4.w1-w7^subject subject subject subject subject subject subject 
40.12:4.w8-w13^subject subject subject subject subject subject 
40.12:4.w14_2^complement 
40.12:4.w16_2^complement 
40.12:4.w20-w23^complement complement complement complement 
40.12:4.w24-w28^complement complement complement complement complement 
40.12:40.w1-w14^subject subject subject subject subject subject subject subject subject subject subject subject subject subject 
40.12:40.w15-w30^subject subject subject subject subject subject subject subject subject subject subject subject subject subject subject subject 
40.12:41.w1-w10^subject subject subject subject subject subject subject subject subject subject 
40.12:41.w11-w13^subject subject subject 
40.12:41.w14-w19^subject subject subject subject subject subject 
40.12:41.w20-w21^subject subject 
40.12:41.w22-w24^subject subject subject 
40.12:42.w1-w10^subject subject subject subject subject subject subject subject subject subject 
40.12:42.w11-w13^subject subject subject 
40.12:42.w14-w24^subject subject subject subject subject subject subject subject subject subject subject 
40.12:42.w21-w24^subject subject subject subject 
40.12:42.w25-w26^subject subject 
40.12:42.w27-w29^subject subject subject 
40.12:43.w1-w9^subject subject subject subject subject subject subject subject subject 
40.12:43.w10-w15^subject subject subject subject subject subject 
40.12:43.w14-w15^subject subject 
40.12:43.w16-w18^subject subject subject 
40.12:44.w1-w2^subject subject 
40.12:44.w3-w7^subject subject subject subject subject 
40.12:44.w8-w9^subject subject 
40.12:44.w10-w16^subject subject subject subject subject subject subject 
40.12:44.w11_2^subject 
40.12:44.w13_2^subject 
40.12:44.w14_2^subject 
40.12:44.w15-w16^subject subject 
40.12:45.w1-w2^subject subject 
40.12:45.w3-w11^subject subject subject subject subject subject subject subject subject 
40.12:45.w12-w15^subject subject subject subject 
40.12:45.w13_2^subject 
40.12:45.w16-w25^subject subject subject subject subject subject subject subject subject subject 
