first word id ^ clause ^ clause function ^ clause level ^ length
1 ^ 1:1.w1-w8_2 ^  ^ 1 ^ 8
798 ^ 2:18.w18-w20 @2:18.w14-w17 ^ adjunct ^ 2 ^ 3
801 ^ 2:19.w1-w4 @2:19.w5_2 ^ adjunct ^ 2 ^ 4
805 ^ 2:19.w5_2 @2:17.w1-w9 ^ adjunct ^ 1 ^ 1
806 ^ 2:19.w6-20.w1 @2:19.w5_2 ^ adjunct ^ 1 ^ 9
815 ^ 2:20.w1_2 ^ adjunct ^ 1 ^ 1
816 ^ 2:20.w2_2 ^ adjunct ^ 1 ^ 8
824 ^ 2:20.w10-w14 @2:20.w2-w9 ^ adjunct ^ 1 ^ 5
829 ^ 2:20.w15-w22 @2:20.w10-w14 ^ adjunct ^ 1 ^ 2
831 ^ 2:20.w17-w22 ^ adjunct ^ 1 ^ 6
837 ^ 2:21.w1_2 ^ subject ^ 1 ^ 10
847 ^ 2:21.w11-w15 @2:21.w1-w10 ^ subject ^ 1 ^ 5
852 ^ 2:22.w1_2 ^ subject ^ 1 ^ 2
854 ^ 2:22.w3-w12 ^ subject ^ 1 ^ 11
865 ^ 2:22.w14-w15 ^ subject ^ 1 ^ 2
867 ^ 2:22.w16_2 ^ adjunct ^ 1 ^ 10
877 ^ 2:23.w1-w7 @2:22.w16-w25 ^ adjunct ^ 1 ^ 1
878 ^ 2:23.w2_2 ^ adjunct ^ 1 ^ 4
882 ^ 2:23.w6-w7 ^ adjunct ^ 1 ^ 2
884 ^ 2:23.w8-w17 @2:23.w1-w7 ^ adjunct ^ 2 ^ 2
886 ^ 2:23.w10-w14 ^ adjunct ^ 1 ^ 5
891 ^ 2:23.w15-w17 ^ adjunct ^ 1 ^ 3
894 ^ 3:1.w1-2.w2 ^ adjunct ^ 1 ^ 2
896 ^ 3:1.w1 ^ adjunct ^ 1 ^ 7
903 ^ 3:1.w10-w15 ^ adjunct ^ 1 ^ 6
909 ^ 3:2.w1-w2 ^ adjunct ^ 1 ^ 2
911 ^ 3:2.w3_2 @3:1.w1-2.w2 ^ adjunct ^ 1 ^ 1
912 ^ 3:2.w4-w9 @3:2.w3_2 ^ adjunct ^ 1 ^ 6
918 ^ 3:3.w1-w10 @3:1.w1-2.w2 ^ adjunct ^ 1 ^ 3
921 ^ 3:3.w4-w10 ^ adjunct ^ 1 ^ 6
927 ^ 3:3.w10_2 ^ adjunct ^ 1 ^ 1
928 ^ 3:3.w11-w15_2 @3:3.w1-w10 ^ adjunct ^ 1 ^ 1
929 ^ 3:3.w12-w15 ^ adjunct ^ 1 ^ 4
933 ^ 3:3.w16-w19 @3:3.w11-w15_2 ^ adjunct ^ 1 ^ 4
937 ^ 3:3.w20-w24 @3:3.w16-w19 ^ adjunct ^ 1 ^ 5
942 ^ 3:4.w1-w11 @3:3.w1-w10 ^ adjunct ^ 1 ^ 2
944 ^ 3:4.w1 ^ adjunct ^ 1 ^ 9
953 ^ 3:4.w12-w18 @3:4.w1-w11 ^ adjunct ^ 1 ^ 7
960 ^ 3:4.w19-w27 @3:4.w12-w18 ^ adjunct ^ 1 ^ 2
962 ^ 3:4.w19 ^ adjunct ^ 1 ^ 2
964 ^ 3:4.w21 ^ adjunct ^ 1 ^ 5
969 ^ 3:5.w1-w5 @3:4.w19-w27 ^ adjunct ^ 1 ^ 5
974 ^ 3:5.w6-w15 @3:5.w1-w5 ^ adjunct ^ 1 ^ 10
984 ^ 3:6.w1-w12 @3:5.w6-w15 ^ adjunct ^ 1 ^ 8
992 ^ 3:6.w9-w12 ^ adjunct ^ 1 ^ 4
996 ^ 3:7.w1-w12 ^ adjunct ^ 1 ^ 7
1003 ^ 3:7.w8-w12 ^ adjunct ^ 1 ^ 7
1010 ^ 3:7.w15-w24 @3:7.w1-w14 ^ adjunct ^ 1 ^ 5
1015 ^ 3:7.w20-w24 ^ adjunct ^ 1 ^ 3
1018 ^ 3:7.w23_2 ^ adjunct ^ 1 ^ 2
1020 ^ 3:8.w1-w6 @3:7.w15-w24 ^ adjunct ^ 1 ^ 6
1026 ^ 3:9.w1-w6 @3:8.w1-w6 ^ adjunct ^ 1 ^ 3
1029 ^ 3:9.w4-w6 ^ adjunct ^ 1 ^ 3
1032 ^ 3:9.w7-w10 @3:9.w1-w6 ^ adjunct ^ 1 ^ 4
1036 ^ 3:9.w11-w13 @3:9.w1-w6 ^ adjunct ^ 1 ^ 3
1039 ^ 3:9.w14-w25 @3:9.w11-w13 ^ adjunct ^ 1 ^ 4
1043 ^ 3:9.w18-w25 ^ adjunct ^ 1 ^ 8
1051 ^ 3:10.w1-w10 @3:9.w11-w13 ^ adjunct ^ 1 ^ 10
1061 ^ 3:10.w11-w18 @3:10.w1-w10 ^ adjunct ^ 1 ^ 2
1063 ^ 3:10.w11_2 ^ adjunct ^ 1 ^ 1
1064 ^ 3:10.w14-w17 ^ adjunct ^ 1 ^ 5
1069 ^ 3:10.w19-w22 @3:10.w11-w18 ^ adjunct ^ 1 ^ 4
1073 ^ 3:11.w1-w8 @3:10.w19-w22 ^ adjunct ^ 1 ^ 8
1081 ^ 3:11.w9_2 ^ subject ^ 1 ^ 8
1089 ^ 3:11.w17-w23 @3:11.w9-w16 ^ subject ^ 2 ^ 4
1093 ^ 3:11.w21-w23 ^ subject ^ 1 ^ 3
1096 ^ 3:11.w24-w31 @3:11.w9-w16 ^ subject ^ 1 ^ 8
1104 ^ 3:12.w1-w7 @3:11.w24-w31 ^ subject ^ 2 ^ 7
1111 ^ 3:12.w8-w12 @3:12.w1-w7 ^ subject ^ 2 ^ 5
1116 ^ 3:12.w13-w20 @3:12.w8-w12 ^ subject ^ 2 ^ 8
1124 ^ 3:12.w21-w26 @3:12.w13-w20 ^ subject ^ 2 ^ 2
1126 ^ 3:12.w21 ^ subject ^ 2 ^ 4
1130 ^ 3:13.w1-w17 @3:7.w1-w14 ^ subject ^ 1 ^ 13
1143 ^ 3:13.w14-w17 ^ subject ^ 1 ^ 4
