first word id ^ clause ^ clause function ^ clause level ^ length
1 ^ 1:1.w1-w8_2 ^  ^ 1 ^ 8
83778 ^ 2:2.w11-w15 ^ adjunct ^ 1 ^ 4
83782 ^ 2:2.w11-w12 ^ adjunct ^ 1 ^ 1
83783 ^ 2:3.w1-w14 ^ adjunct ^ 1 ^ 5
83788 ^ 2:3.w6-w11 ^ adjunct ^ 1 ^ 2
83790 ^ 2:3.w8-w11 ^ adjunct ^ 1 ^ 3
83793 ^ 2:3.w8 ^ adjunct ^ 1 ^ 1
83794 ^ 2:3.w12-w14 ^ adjunct ^ 1 ^ 3
83797 ^ 2:3.w15-w21 @2:3.w1-w14 ^ adjunct ^ 2 ^ 7
83804 ^ 2:4.w1-w14 ^ adjunct ^ 1 ^ 13
83817 ^ 2:4.w14_2 ^ adjunct ^ 1 ^ 1
83818 ^ 2:4.w15-w23 @2:4.w1-w14 ^ adjunct ^ 2 ^ 9
83827 ^ 2:5.w1-w19 ^ adjunct ^ 1 ^ 2
83829 ^ 2:5.w1_2 ^ adjunct ^ 1 ^ 17
83846 ^ 2:6.w1-w7 @2:5.w1-w19 ^ adjunct ^ 2 ^ 7
83853 ^ 2:7.w1-w12 ^ complement ^ 1 ^ 11
83864 ^ 2:7.w1 ^ complement ^ 1 ^ 3
83867 ^ 2:8.w1-w15 @2:7.w1-w14 ^ complement ^ 2 ^ 2
83869 ^ 2:8.w1_2 ^ complement ^ 2 ^ 2
83871 ^ 2:8.w5-w8 ^ complement ^ 1 ^ 4
83875 ^ 2:8.w9-w12 ^ complement ^ 1 ^ 7
83882 ^ 2:9.w1-w16 ^ complement ^ 1 ^ 7
83889 ^ 2:9.w8-w11 ^ complement ^ 1 ^ 9
83898 ^ 2:10.w1-w16 ^ complement ^ 1 ^ 2
83900 ^ 2:10.w1_2 ^ complement ^ 1 ^ 4
83904 ^ 2:10.w7-w16 ^ complement ^ 1 ^ 5
83909 ^ 2:10.w7-w9 ^ complement ^ 1 ^ 5
83914 ^ 2:11.w1-w7 ^ complement ^ 1 ^ 7
83921 ^ 2:12.w1-w4 ^ subject ^ 1 ^ 7
83928 ^ 2:12.w8-w15 ^ subject ^ 1 ^ 1
83929 ^ 2:12.w9-w12 ^ subject ^ 1 ^ 7
83936 ^ 2:13.w1-w9 ^ subject ^ 1 ^ 9
83945 ^ 2:13.w10-w14 ^ subject ^ 1 ^ 5
83950 ^ 2:14.w1-w12 @2:14.w13-w19 ^ subject ^ 2 ^ 3
83953 ^ 2:14.w4-w7 ^ subject ^ 1 ^ 3
83956 ^ 2:14.w4 ^ subject ^ 1 ^ 6
83962 ^ 2:14.w13-w19 ^ subject ^ 1 ^ 1
83963 ^ 2:14.w14-w16 ^ subject ^ 1 ^ 6
83969 ^ 2:15.w1-w11 @2:14.w13-w19 ^ subject ^ 2 ^ 11
83980 ^ 2:15.w12-w15 @2:15.w1-w11 ^ subject ^ 3 ^ 4
83984 ^ 2:15.w16-w21 @2:15.w12-w15 ^ subject ^ 2 ^ 6
83990 ^ 2:15.w22-16.w2 @2:15.w16-w21 ^ subject ^ 2 ^ 5
83995 ^ 2:16.w3-w17 @2:15.w22-16.w2 ^ subject ^ 3 ^ 15
84010 ^ 2:17.w1-w5 @2:21.w1-w7 ^ subject ^ 2 ^ 5
84015 ^ 2:17.w6-w8 @2:17.w1-w5 ^ subject ^ 2 ^ 3
84018 ^ 2:17.w9-w12 @2:17.w6-w8 ^ subject ^ 2 ^ 4
84022 ^ 2:18.w1-w4 @2:17.w9-w12 ^ subject ^ 2 ^ 4
84026 ^ 2:18.w5-20.w15 @2:18.w1-w4 ^ subject ^ 2 ^ 2
84028 ^ 2:18.w7-w8_2 ^ subject ^ 1 ^ 2
84030 ^ 2:18.w9-w12 ^ subject ^ 1 ^ 4
84034 ^ 2:19.w1-20.w15 ^ subject ^ 1 ^ 2
84036 ^ 2:19.w3-20.w15 ^ subject ^ 1 ^ 3
84039 ^ 2:19.w4_2 ^ subject ^ 1 ^ 9
84048 ^ 2:20.w5-w15 ^ subject ^ 1 ^ 11
84059 ^ 2:21.w1-w4 ^ subject ^ 1 ^ 2
84061 ^ 2:21.w1 ^ subject ^ 1 ^ 5
84066 ^ 2:21.w8-w11 ^ subject ^ 1 ^ 2
84068 ^ 2:21.w10-w11 ^ subject ^ 1 ^ 3
84071 ^ 2:22.w1-w4 ^ subject ^ 1 ^ 2
84073 ^ 2:22.w3-w4 ^ subject ^ 1 ^ 3
84076 ^ 2:22.w6-w9 ^ subject ^ 1 ^ 5
84081 ^ 2:23.w1-w4 ^ subject ^ 1 ^ 12
84093 ^ 2:24.w1-w11 ^ subject ^ 1 ^ 2
84095 ^ 2:24.w1 ^ subject ^ 1 ^ 9
84104 ^ 2:24.w12-w13 @2:24.w1-w11 ^ subject ^ 2 ^ 2
84106 ^ 2:25.w1-w4 ^ subject ^ 1 ^ 4
84110 ^ 2:25.w5-w7 @2:25.w1-w4 ^ subject ^ 2 ^ 3
84113 ^ 2:25.w8-w12 @2:25.w13-w17 ^ subject ^ 2 ^ 5
84118 ^ 2:25.w13-w17 ^ subject ^ 1 ^ 5
84123 ^ 2:26.w1-w9 @2:26.w10-w16 ^ subject ^ 2 ^ 9
84132 ^ 2:26.w10-w16 ^ subject ^ 1 ^ 7
84139 ^ 2:27.w1-w17 ^ subject ^ 1 ^ 6
84145 ^ 2:27.w7-w9 ^ subject ^ 1 ^ 11
84156 ^ 2:28.w1-w8 ^ subject ^ 1 ^ 8
84164 ^ 2:28.w9-w16 ^ subject ^ 1 ^ 8
84172 ^ 2:29.w1-w6 ^ subject ^ 1 ^ 6
84178 ^ 2:29.w7-w13 ^ subject ^ 1 ^ 7
84185 ^ 2:29.w14-w19 @2:29.w7-w13 ^ subject ^ 2 ^ 6
84191 ^ 2:29.w20-w23 @2:29.w14-w19 ^ subject ^ 2 ^ 4
84195 ^ 3:1.w1-w6 ^ subject ^ 1 ^ 6
84201 ^ 3:1.w7-w12 ^ subject ^ 1 ^ 6
84207 ^ 3:2.w1-w4 ^ subject ^ 1 ^ 4
84211 ^ 3:2.w5-w7 ^ subject ^ 1 ^ 3
84214 ^ 3:2.w8-w13 @3:2.w5-w7 ^ subject ^ 2 ^ 6
84220 ^ 3:3.w1-w2 ^ subject ^ 1 ^ 2
84222 ^ 3:3.w3-w5 @3:3.w6-w14 ^ subject ^ 2 ^ 3
84225 ^ 3:3.w6-w14 ^ subject ^ 1 ^ 9
84234 ^ 3:4.w1-w2 ^ subject ^ 1 ^ 2
84236 ^ 3:4.w3-w7 ^ subject ^ 1 ^ 5
84241 ^ 3:4.w8-w11 ^ subject ^ 1 ^ 2
84243 ^ 3:4.w8 ^ subject ^ 1 ^ 2
84245 ^ 3:4.w12-w13 @3:4.w8-w11 ^ subject ^ 2 ^ 2
84247 ^ 3:4.w14-w20 @3:4.w12-w13 ^ subject ^ 2 ^ 7
84254 ^ 3:4.w21-w26 @3:4.w14-w20 ^ subject ^ 2 ^ 2
84256 ^ 3:4.w23-w26 ^ subject ^ 1 ^ 4
84260 ^ 3:5.w1-w8 @3:5.w9-w10 ^ subject ^ 2 ^ 8
84268 ^ 3:5.w9-w10 ^ subject ^ 1 ^ 2
84270 ^ 3:5.w11-w18 ^ subject ^ 1 ^ 4
84274 ^ 3:5.w15-w18 ^ subject ^ 1 ^ 4
84278 ^ 3:5.w19-w21 @3:5.w9-w10 ^ subject ^ 2 ^ 3
84281 ^ 3:6.w1-w2 ^ subject ^ 1 ^ 2
84283 ^ 3:6.w3-w9 @3:6.w1-w2 ^ subject ^ 2 ^ 7
84290 ^ 3:7.w1-w15 @3:7.w16-w21 ^ subject ^ 2 ^ 15
84305 ^ 3:7.w16-w21 ^ subject ^ 1 ^ 6
84311 ^ 3:8.w1-w2 ^ subject ^ 1 ^ 2
84313 ^ 3:8.w3-w4 @3:8.w1-w2 ^ subject ^ 2 ^ 2
84315 ^ 3:8.w5-w10 @3:8.w3-w4 ^ subject ^ 2 ^ 4
84319 ^ 3:8.w9-w10 ^ subject ^ 1 ^ 2
84321 ^ 3:8.w11-w14 @3:8.w5-w10 ^ subject ^ 2 ^ 4
84325 ^ 3:8.w15-w18 @3:8.w11-w14 ^ subject ^ 3 ^ 4
84329 ^ 3:8.w19-w23 @3:8.w5-w10 ^ subject ^ 3 ^ 5
84334 ^ 3:9.w1-w2 ^ subject ^ 1 ^ 2
84336 ^ 3:9.w3_2 ^ subject ^ 1 ^ 1
84337 ^ 3:9.w4-w5 ^ subject ^ 1 ^ 2
84339 ^ 3:9.w6-w15 ^ subject ^ 1 ^ 2
84341 ^ 3:9.w8-w15 ^ subject ^ 1 ^ 8
84349 ^ 3:10.w1-w2 @3:9.w6-w15 ^ subject ^ 2 ^ 2
84351 ^ 3:10.w3-w6 @3:10.w1-w2 ^ subject ^ 2 ^ 4
84355 ^ 3:10.w7-w8 @3:10.w3-w6 ^ subject ^ 2 ^ 2
84357 ^ 3:11.w1-w4 @3:10.w7-w8 ^ subject ^ 2 ^ 2
84359 ^ 3:11.w3-w4_2 ^ subject ^ 1 ^ 2
84361 ^ 3:11.w5-w10 @3:11.w1-w4 ^ subject ^ 2 ^ 2
84363 ^ 3:11.w7-w10 ^ subject ^ 1 ^ 4
84367 ^ 3:12.w1-w2 @3:11.w5-w10 ^ subject ^ 2 ^ 2
84369 ^ 3:12.w3-w4 @3:12.w1-w2 ^ subject ^ 2 ^ 2
84371 ^ 3:12.w5-w9 @3:12.w3-w4 ^ subject ^ 2 ^ 2
84373 ^ 3:12.w7-w9 ^ subject ^ 1 ^ 3
84376 ^ 3:12.w10-w13 @3:12.w5-w9 ^ subject ^ 2 ^ 4
84380 ^ 3:13.w1-w5 @3:12.w10-w13 ^ subject ^ 2 ^ 1
84381 ^ 3:13.w2_2 ^ subject ^ 1 ^ 4
84385 ^ 3:13.w6-w9 @3:13.w1-w5 ^ subject ^ 2 ^ 4
84389 ^ 3:13.w10-w15 @3:13.w6-w9 ^ subject ^ 2 ^ 6
84395 ^ 3:14.w1-w7 @3:13.w10-w15 ^ subject ^ 3 ^ 7
84402 ^ 3:15.w1-w6 @3:13.w10-w15 ^ subject ^ 2 ^ 4
84406 ^ 3:15.w5-w6 ^ definer ^ 1 ^ 2
84408 ^ 3:16.w1-w7 @3:15.w1-w6 ^ definer ^ 2 ^ 7
84415 ^ 3:17.w1-w5 @3:16.w1-w7 ^ definer ^ 2 ^ 5
84420 ^ 3:18.w1-w8 @3:17.w1-w5 ^ definer ^ 2 ^ 8
84428 ^ 3:19.w1-w2 ^ definer ^ 1 ^ 2
84430 ^ 3:19.w3-w12 @3:19.w1-w2 ^ definer ^ 2 ^ 1
84431 ^ 3:19.w4-w7 ^ definer ^ 1 ^ 9
84440 ^ 3:19.w13-w16 @3:19.w3-w12 ^ definer ^ 3 ^ 4
84444 ^ 3:19.w17-w24 @3:19.w13-w16 ^ definer ^ 2 ^ 8
84452 ^ 3:20.w1-w10 @3:19.w17-w24 ^ definer ^ 3 ^ 10
84462 ^ 3:20.w11-w15 ^ definer ^ 1 ^ 2
84464 ^ 3:20.w11 ^ definer ^ 1 ^ 3
84467 ^ 3:21.w1-w14 ^ definer ^ 1 ^ 7
84474 ^ 3:21.w8-w14 ^ definer ^ 1 ^ 7
84481 ^ 3:22.w1-w11 ^ definer ^ 1 ^ 2
84483 ^ 3:22.w1 ^ definer ^ 1 ^ 5
84488 ^ 3:22.w8-w11_2 ^ definer ^ 1 ^ 4
84492 ^ 3:22.w12-w15 ^ definer ^ 1 ^ 4
84496 ^ 3:23.w1-w3 ^ definer ^ 1 ^ 3
84499 ^ 3:23.w4-24.w12 ^ definer ^ 1 ^ 6
84505 ^ 3:24.w1-w12 ^ definer ^ 1 ^ 12
84517 ^ 3:25.w1-26.w5 @3:23.w4-24.w12 ^ definer ^ 2 ^ 21
84538 ^ 3:25.w22_2 ^ definer ^ 1 ^ 7
84545 ^ 3:26.w6-w26 @3:25.w1-26.w5 ^ definer ^ 2 ^ 10
84555 ^ 3:26.w16-w26 ^ definer ^ 1 ^ 6
84561 ^ 3:26.w22-w26 ^ definer ^ 1 ^ 5
84566 ^ 3:27.w1-w4 ^ definer ^ 1 ^ 4
84570 ^ 3:27.w5_2 ^ definer ^ 1 ^ 1
84571 ^ 3:27.w6-w8_2 ^ definer ^ 1 ^ 3
84574 ^ 3:27.w9-w10_2 ^ definer ^ 1 ^ 2
84576 ^ 3:27.w11_2 ^ definer ^ 1 ^ 1
84577 ^ 3:27.w12-w15 ^ definer ^ 1 ^ 4
84581 ^ 3:28.w1-w8 ^ definer ^ 1 ^ 2
84583 ^ 3:28.w3-w8 ^ definer ^ 1 ^ 6
84589 ^ 3:29.w1-w5 ^ definer ^ 1 ^ 5
84594 ^ 3:29.w6-w8 ^ definer ^ 1 ^ 3
84597 ^ 3:29.w9-w11 ^ definer ^ 1 ^ 3
84600 ^ 3:30.w1-w4 @3:29.w9-w11 ^ definer ^ 2 ^ 4
84604 ^ 3:30.w5-w9 @3:30.w1-w4 ^ definer ^ 3 ^ 5
84609 ^ 3:30.w10-w14 @3:30.w5-w9 ^ definer ^ 2 ^ 5
84614 ^ 3:31.w1-w6 ^ definer ^ 1 ^ 6
84620 ^ 3:31.w7-w8 ^ definer ^ 1 ^ 2
84622 ^ 3:31.w9-w11 ^ definer ^ 1 ^ 3
84625 ^ 4:1.w1_2 ^ complement ^ 1 ^ 10
84635 ^ 4:2.w1-w6 @4:2.w7-w8 ^ complement ^ 2 ^ 6
84641 ^ 4:2.w7-w8 ^ complement ^ 1 ^ 2
84643 ^ 4:2.w9-w12 ^ complement ^ 1 ^ 4
84647 ^ 4:3.w1-w5 ^ complement ^ 1 ^ 5
84652 ^ 4:3.w6-w10 ^ complement ^ 1 ^ 5
84657 ^ 4:3.w11-w15 ^ complement ^ 1 ^ 5
84662 ^ 4:4.w1-w3 ^ complement ^ 1 ^ 2
84664 ^ 4:4.w1 ^ complement ^ 1 ^ 7
84671 ^ 4:4.w10-w12 ^ complement ^ 1 ^ 3
84674 ^ 4:5.w1-w4 ^ complement ^ 1 ^ 3
84677 ^ 4:5.w1 ^ complement ^ 1 ^ 1
84678 ^ 4:5.w5-w11 ^ complement ^ 1 ^ 2
84680 ^ 4:5.w7-w11 ^ complement ^ 1 ^ 11
84691 ^ 4:6.w1-w15 @4:5.w1-w17 ^ complement ^ 2 ^ 8
84699 ^ 4:6.w9-w15 ^ complement ^ 1 ^ 7
84706 ^ 4:7.w1-w10 @4:6.w1-w15 ^ complement ^ 2 ^ 1
84707 ^ 4:7.w2-w5 ^ complement ^ 1 ^ 2
84709 ^ 4:7.w2 ^ complement ^ 1 ^ 2
84711 ^ 4:7.w6-w10 ^ complement ^ 1 ^ 3
84714 ^ 4:7.w7 ^ complement ^ 1 ^ 2
84716 ^ 4:8.w1-w2 @4:7.w1-w10 ^ complement ^ 2 ^ 2
84718 ^ 4:8.w3-w8 @4:8.w1-w2 ^ complement ^ 3 ^ 5
84723 ^ 4:8.w3 ^ complement ^ 3 ^ 1
84724 ^ 4:9.w1-w7 @4:6.w1-w15 ^ complement ^ 2 ^ 3
84727 ^ 4:9.w1-w2 ^ complement ^ 2 ^ 4
84731 ^ 4:9.w8-w12 @4:9.w1-w7 ^ complement ^ 2 ^ 5
84736 ^ 4:9.w13-w14 @4:9.w8-w12 ^ complement ^ 2 ^ 2
84738 ^ 4:9.w15-w21 @4:9.w13-w14 ^ complement ^ 2 ^ 7
84745 ^ 4:10.w1-w3 @4:9.w13-w14 ^ complement ^ 2 ^ 3
84748 ^ 4:10.w4-w6 ^ complement ^ 1 ^ 3
84751 ^ 4:10.w7-w9 ^ complement ^ 1 ^ 3
84754 ^ 4:10.w10-w12 ^ complement ^ 1 ^ 3
84757 ^ 4:10.w13-w15 ^ complement ^ 1 ^ 3
84760 ^ 4:11.w1-12.w22 @4:10.w10-w15_2 ^ complement ^ 2 ^ 3
84763 ^ 4:11.w2 ^ complement ^ 2 ^ 10
84773 ^ 4:11.w14-w30 ^ complement ^ 1 ^ 5
84778 ^ 4:11.w19-w23 ^ complement ^ 1 ^ 5
84783 ^ 4:11.w24-w30 ^ complement ^ 1 ^ 7
84790 ^ 4:12.w1-w22 ^ complement ^ 1 ^ 8
84798 ^ 4:12.w9-w22 ^ complement ^ 1 ^ 14
84812 ^ 4:13.w1-w17 @4:11.w1-12.w22 ^ complement ^ 2 ^ 12
84824 ^ 4:13.w13-w17 ^ complement ^ 1 ^ 4
84828 ^ 4:13.w13-w14 ^ complement ^ 1 ^ 1
84829 ^ 4:13.w18-w21 @4:13.w1-w17 ^ complement ^ 2 ^ 4
84833 ^ 4:14.w1-w6 @4:14.w7-w9 ^ complement ^ 3 ^ 6
84839 ^ 4:14.w7-w9 @4:13.w18-w21 ^ complement ^ 2 ^ 3
84842 ^ 4:14.w10-w13 @4:14.w7-w9 ^ complement ^ 2 ^ 4
84846 ^ 4:15.w1-w5 @4:14.w10-w13 ^ complement ^ 2 ^ 2
84848 ^ 4:15.w1 ^ complement ^ 2 ^ 3
84851 ^ 4:15.w6-w10 ^ adjunct ^ 1 ^ 7
84858 ^ 4:16.w1-w4 @4:15.w6-w12 ^ adjunct ^ 2 ^ 4
84862 ^ 4:16.w5-w28 @4:16.w1-w4 ^ adjunct ^ 3 ^ 3
84865 ^ 4:16.w8-w28 ^ adjunct ^ 1 ^ 21
84886 ^ 4:16.w29-w33 @4:16.w5-w28 ^ adjunct ^ 3 ^ 5
84891 ^ 4:17.w1-w2 @4:16.w29-w33 ^ adjunct ^ 3 ^ 2
84893 ^ 4:17.w3-w8 @4:17.w1-w2 ^ adjunct ^ 2 ^ 5
84898 ^ 4:17.w4-w6_2 ^ adjunct ^ 2 ^ 1
84899 ^ 4:17.w9-w23 @4:17.w3-w8 ^ adjunct ^ 3 ^ 3
84902 ^ 4:17.w9-w10 ^ adjunct ^ 3 ^ 1
84903 ^ 4:17.w13-w16 ^ adjunct ^ 1 ^ 4
84907 ^ 4:17.w17-w23 ^ adjunct ^ 1 ^ 2
84909 ^ 4:17.w19-w21_2 ^ predicator ^ 1 ^ 2
84911 ^ 4:17.w19 ^ predicator ^ 1 ^ 1
84912 ^ 4:17.w22-w23_2 ^ predicator ^ 1 ^ 2
84914 ^ 4:18.w1-w21 @4:17.w9-w23 ^ predicator ^ 3 ^ 6
84920 ^ 4:18.w7-w21 ^ predicator ^ 1 ^ 7
84927 ^ 4:18.w14-w16_2 ^ predicator ^ 1 ^ 3
84930 ^ 4:18.w17-w21 ^ predicator ^ 1 ^ 5
84935 ^ 4:19.w1-w20 @4:18.w1-w21 ^ predicator ^ 2 ^ 1
84936 ^ 4:19.w2-w5 ^ predicator ^ 1 ^ 8
84944 ^ 4:19.w10-w11 ^ predicator ^ 1 ^ 2
84946 ^ 4:19.w12-w14 ^ predicator ^ 1 ^ 3
84949 ^ 4:19.w7-w11_2 ^ predicator ^ 1 ^ 6
84955 ^ 4:20.w1-w10 @4:19.w1-w20 ^ predicator ^ 2 ^ 2
84957 ^ 4:20.w1 ^ predicator ^ 2 ^ 8
84965 ^ 4:20.w11-21.w9 @4:20.w1-w10 ^ predicator ^ 2 ^ 4
84969 ^ 4:20.w15-w18 ^ predicator ^ 1 ^ 4
84973 ^ 4:21.w1-w2 ^ predicator ^ 1 ^ 2
84975 ^ 4:21.w3-w9 ^ predicator ^ 1 ^ 1
84976 ^ 4:21.w4-w5 ^ complement ^ 1 ^ 4
84980 ^ 4:21.w4-w6 ^ complement ^ 1 ^ 2
84982 ^ 4:22.w1-w6 @4:20.w11-21.w9 ^ complement ^ 2 ^ 6
84988 ^ 4:23.w1-w6 ^ complement ^ 1 ^ 6
84994 ^ 4:23.w7-w9 ^ complement ^ 1 ^ 3
84997 ^ 4:24.w1-w4 ^ complement ^ 1 ^ 4
85001 ^ 4:24.w5_2 ^ complement ^ 1 ^ 3
85004 ^ 4:24.w8-w18 ^ complement ^ 1 ^ 2
85006 ^ 4:24.w10-w18 ^ complement ^ 1 ^ 9
85015 ^ 4:25.w1-w6 @4:24.w5-w18 ^ complement ^ 3 ^ 6
85021 ^ 4:25.w7-w12 @4:25.w1-w6 ^ complement ^ 2 ^ 6
85027 ^ 5:1.w1-w4 ^ adjunct ^ 1 ^ 15
85042 ^ 5:2.w1-w12 @5:1.w1-w15 ^ adjunct ^ 2 ^ 12
85054 ^ 5:2.w13-w15 @5:2.w1-w12 ^ adjunct ^ 3 ^ 3
85057 ^ 5:2.w16-w23 ^ adjunct ^ 1 ^ 8
85065 ^ 5:3.w1-w3 ^ adjunct ^ 1 ^ 3
85068 ^ 5:3.w4-w10 ^ adjunct ^ 1 ^ 6
85074 ^ 5:3.w10_2 ^ adjunct ^ 1 ^ 1
85075 ^ 5:3.w11-w15 @5:3.w4-w10 ^ adjunct ^ 2 ^ 5
85080 ^ 5:4.w1-w4 @5:3.w11-w15 ^ adjunct ^ 2 ^ 2
85082 ^ 5:4.w1 ^ adjunct ^ 2 ^ 2
85084 ^ 5:4.w5-w8 @5:4.w1-w4 ^ adjunct ^ 2 ^ 2
85086 ^ 5:4.w5 ^ adjunct ^ 2 ^ 2
85088 ^ 5:5.w1-w5 @5:4.w5-w8 ^ adjunct ^ 2 ^ 2
85090 ^ 5:5.w1 ^ adjunct ^ 2 ^ 3
85093 ^ 5:5.w6-w21 @5:5.w1-w5 ^ adjunct ^ 3 ^ 13
85106 ^ 5:5.w19-w21 ^ adjunct ^ 1 ^ 3
85109 ^ 5:6.w1-w12 ^ adjunct ^ 1 ^ 3
85112 ^ 5:6.w4-w7 @5:6.w1-w12 ^ adjunct ^ 2 ^ 9
85121 ^ 5:7.w1-w6 ^ adjunct ^ 1 ^ 6
85127 ^ 5:7.w7-w15 ^ adjunct ^ 1 ^ 2
85129 ^ 5:7.w7 ^ adjunct ^ 1 ^ 6
85135 ^ 5:7.w15_2 ^ adjunct ^ 1 ^ 1
85136 ^ 5:8.w1-w9 ^ adjunct ^ 1 ^ 9
85145 ^ 5:8.w10-w14 @5:8.w15-w18 ^ adjunct ^ 3 ^ 5
85150 ^ 5:8.w15-w18 @5:8.w1-w9 ^ adjunct ^ 2 ^ 4
85154 ^ 5:9.w1-w15 ^ adjunct ^ 1 ^ 2
85156 ^ 5:9.w1 ^ adjunct ^ 1 ^ 1
85157 ^ 5:9.w4-w9 ^ adjunct ^ 1 ^ 12
85169 ^ 5:10.w1-w13 @5:10.w14-w21 ^ adjunct ^ 2 ^ 2
85171 ^ 5:10.w3-w4 ^ adjunct ^ 1 ^ 11
85182 ^ 5:10.w14-w21 ^ adjunct ^ 1 ^ 2
85184 ^ 5:10.w16_2 ^ adjunct ^ 1 ^ 6
85190 ^ 5:11.w1-w3 ^ adjunct ^ 1 ^ 3
85193 ^ 5:11.w4-w15 ^ adjunct ^ 1 ^ 2
85195 ^ 5:11.w6-w15 ^ adjunct ^ 1 ^ 10
85205 ^ 5:11.w16-w21 @5:11.w4-w15 ^ adjunct ^ 2 ^ 6
85211 ^ 5:12.w1-w12 @5:15.w6-w9 ^ adjunct ^ 2 ^ 12
85223 ^ 5:12.w13-w18 @5:12.w1-w12 ^ adjunct ^ 2 ^ 6
85229 ^ 5:12.w19-w26 @5:12.w13-w18 ^ adjunct ^ 2 ^ 8
85237 ^ 5:12.w27-w30 @5:12.w19-w26 ^ adjunct ^ 3 ^ 4
85241 ^ 5:13.w1-w7 @5:12.w19-w26 ^ adjunct ^ 2 ^ 2
85243 ^ 5:13.w1 ^ adjunct ^ 2 ^ 5
85248 ^ 5:13.w8-w11 @5:13.w1-w7 ^ adjunct ^ 2 ^ 4
85252 ^ 5:13.w12-w14 @5:13.w8-w11 ^ adjunct ^ 3 ^ 3
85255 ^ 5:14.w1-w19 @5:13.w8-w11 ^ adjunct ^ 2 ^ 9
85264 ^ 5:14.w10-w19 ^ adjunct ^ 1 ^ 10
85274 ^ 5:14.w20-w24 @5:14.w1-w19 ^ adjunct ^ 3 ^ 3
85277 ^ 5:14.w23-w24_2 ^ adjunct ^ 1 ^ 2
85279 ^ 5:15.w1-w5 @5:15.w6-w9 ^ adjunct ^ 2 ^ 5
85284 ^ 5:15.w6-w9 ^ adjunct ^ 1 ^ 4
85288 ^ 5:15.w10-w18 @5:15.w19-w39 ^ adjunct ^ 2 ^ 9
85297 ^ 5:15.w19-w39 ^ adjunct ^ 1 ^ 21
85318 ^ 5:16.w1-w8 ^ adjunct ^ 1 ^ 2
85320 ^ 5:16.w3-w6_2 ^ adjunct ^ 1 ^ 6
85326 ^ 5:16.w9-w16 ^ adjunct ^ 1 ^ 3
85329 ^ 5:16.w9 ^ adjunct ^ 1 ^ 5
85334 ^ 5:16.w17-w24 ^ adjunct ^ 1 ^ 2
85336 ^ 5:16.w17 ^ adjunct ^ 1 ^ 6
85342 ^ 5:17.w1-w12 @5:17.w13-w33 ^ adjunct ^ 2 ^ 12
85354 ^ 5:17.w13-w33 ^ adjunct ^ 1 ^ 2
85356 ^ 5:17.w15-w25 ^ adjunct ^ 1 ^ 10
85366 ^ 5:17.w15 ^ adjunct ^ 1 ^ 9
85375 ^ 5:18.w1-w11 @5:18.w12-w22 ^ adjunct ^ 2 ^ 11
85386 ^ 5:18.w12-w22 ^ adjunct ^ 1 ^ 11
85397 ^ 5:19.w1-w12 @5:19.w13-w23 ^ adjunct ^ 2 ^ 12
85409 ^ 5:19.w13-w23 ^ adjunct ^ 1 ^ 11
85420 ^ 5:20.w1-w3 ^ adjunct ^ 1 ^ 3
85423 ^ 5:20.w4-w7 @5:20.w1-w3 ^ adjunct ^ 2 ^ 4
85427 ^ 5:20.w8-w12 ^ adjunct ^ 1 ^ 8
85435 ^ 5:21.w1-w8 @5:21.w9-w24 ^ adjunct ^ 3 ^ 8
85443 ^ 5:21.w9-w24 @5:20.w8-w15 ^ adjunct ^ 2 ^ 16
85459 ^ 6:1.w1-w3 ^ adjunct ^ 1 ^ 3
85462 ^ 6:1.w4-w6 ^ adjunct ^ 1 ^ 3
85465 ^ 6:1.w7-w10 @6:1.w4-w6 ^ adjunct ^ 2 ^ 4
85469 ^ 6:2.w1-w2 ^ adjunct ^ 1 ^ 2
85471 ^ 6:2.w3-w6 ^ subject ^ 1 ^ 9
85480 ^ 6:3.w1-w2 ^ subject ^ 1 ^ 2
85482 ^ 6:3.w3-w13 @6:3.w1-w2 ^ subject ^ 2 ^ 1
85483 ^ 6:3.w4-w8 ^ subject ^ 1 ^ 10
85493 ^ 6:4.w1-w9 ^ subject ^ 1 ^ 9
85502 ^ 6:4.w10-w20 @6:4.w21-w27 ^ subject ^ 3 ^ 11
85513 ^ 6:4.w21-w27 @6:4.w1-w9 ^ subject ^ 2 ^ 7
85520 ^ 6:5.w1-w9 @6:5.w10-6.w2 ^ subject ^ 3 ^ 4
85524 ^ 6:5.w3 ^ subject ^ 3 ^ 5
85529 ^ 6:5.w10-6.w2 @6:4.w21-w27 ^ subject ^ 2 ^ 5
85534 ^ 6:6.w1-w2 ^ subject ^ 1 ^ 2
85536 ^ 6:6.w3-w8 @6:5.w10-6.w2 ^ subject ^ 3 ^ 6
85542 ^ 6:6.w9-w20 @6:6.w3-w8 ^ subject ^ 3 ^ 6
85548 ^ 6:6.w15-w20 ^ subject ^ 1 ^ 2
85550 ^ 6:6.w15 ^ subject ^ 1 ^ 4
85554 ^ 6:7.w1-w3 ^ subject ^ 1 ^ 2
85556 ^ 6:7.w1 ^ subject ^ 1 ^ 5
85561 ^ 6:8.w1-w5 @6:8.w6_2 ^ subject ^ 2 ^ 5
85566 ^ 6:8.w6_2 ^ subject ^ 1 ^ 1
85567 ^ 6:8.w7-9.w1 @6:8.w6_2 ^ subject ^ 2 ^ 4
