Clause^SubclauseFunction
40.1:3.w1-w11^subject conjunction predicator complement complement complement complement complement adjunct adjunct adjunct 
40.1:3.w12-w16^subject conjunction predicator complement complement 
40.1:3.w17-w21^subject conjunction predicator complement complement 
40.1:4.w1-w5^subject conjunction predicator complement complement 
40.1:4.w6-w10^subject conjunction predicator complement complement 
40.1:4.w11-w15^subject conjunction predicator complement complement 
40.1:5.w1-w8^subject conjunction predicator complement complement adjunct adjunct adjunct 
40.1:5.w9-w16^subject conjunction predicator complement complement adjunct adjunct adjunct 
40.1:5.w17-w21^subject conjunction predicator complement complement 
40.1:6.w1-w7^subject conjunction predicator complement complement definer definer 
40.1:6.w8-w16^subject conjunction predicator complement complement adjunct adjunct qualifier qualifier 
40.1:7.w1-w5^subject conjunction predicator complement complement 
40.1:7.w6-w10^subject conjunction predicator complement complement 
40.1:7.w11-w15^subject conjunction predicator complement complement 
40.1:8.w1-w5^subject conjunction predicator complement complement 
40.1:8.w6-w10^subject conjunction predicator complement complement 
40.1:8.w11-w15^subject conjunction predicator complement complement 
40.1:9.w1-w5^subject conjunction predicator complement complement 
40.1:9.w6-w10^subject conjunction predicator complement complement 
40.1:9.w11-w15^subject conjunction predicator complement complement 
40.10:1.w1-w11^conjunction predicator complement complement complement complement predicator complement complement qualifier qualifier 
40.10:1.w2-w6^predicator complement complement complement complement 
40.10:1.w12-w14^conjunction predicator complement 
40.10:1.w15-w21^conjunction predicator complement complement complement complement complement 
40.10:10.w1-w4^adjunct complement adjunct adjunct 
40.10:10.w5-w11^adjunct complement complement complement complement complement complement 
40.10:10.w12-w18^complement conjunction subject subject qualifier qualifier qualifier 
40.10:10.w12^complement 
40.10:11.w1-w8^adjunct adjunct conjunction adjunct adjunct adjunct adjunct predicator 
40.10:11.w1-w2_2^adjunct adjunct 
40.10:11.w10-w14^subject relator relator complement predicator 
40.10:11.w15-w16^adjunct predicator 
40.10:11.w17-w19^conjunction adjunct predicator 
40.10:12.w1_2^predicator 
40.10:13.w1-w7^conjunction conjunction conjunction predicator subject subject complement 
40.10:13.w8-w13^predicator subject subject subject adjunct adjunct 
40.10:13.w14-w18^conjunction conjunction adjunct predicator complement 
40.10:13.w19-w24^subject subject subject adjunct adjunct predicator 
40.10:14.w1-w6^conjunction subject adjunct adjunct predicator complement 
40.10:14.w7-w11^adjunct predicator complement complement complement 
40.10:14.w12-w19^predicator adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:15.w1-w3^adjunct predicator complement 
40.10:15.w4-w12^complement predicator qualifier qualifier qualifier qualifier adjunct adjunct adjunct 
40.10:15.w4^complement 
40.10:15.w13-w16^conjunction complement complement complement 
40.10:16.w1_2^predicator 
40.10:16.w2-w4^subject predicator complement 
40.10:16.w5-w9^conjunction complement adjunct adjunct adjunct 
40.10:16.w10-w12^predicator conjunction complement 
40.10:16.w13-w15^conjunction subject subject 
40.10:16.w16-w17^conjunction complement 
40.10:16.w18-w20^conjunction subject subject 
40.10:17.w1-w5^predicator conjunction adjunct adjunct adjunct 
40.10:17.w6-w10^predicator conjunction complement adjunct adjunct 
40.10:17.w11-w17^conjunction adjunct adjunct adjunct adjunct predicator complement 
40.10:18.w1-w15^complement complement complement conjunction conjunction conjunction predicator adjunct adjunct adjunct adjunct qualifier qualifier qualifier qualifier 
40.10:18.w1-w3^complement complement complement 
40.10:19.w1-w4^conjunction conjunction predicator complement 
40.10:19.w5-w10^adjunct predicator adjunct conjunction complement predicator 
40.10:19.w7_2^adjunct 
40.10:19.w8-w10^conjunction complement predicator 
40.10:19.w11-w19^predicator conjunction complement adjunct adjunct adjunct adjunct complement predicator 
40.10:19.w18-w19^complement predicator 
40.10:2.w1-w8^qualifier conjunction qualifier qualifier qualifier qualifier predicator complement 
40.10:2.w1_2^qualifier 
40.10:2.w9-w13^adjunct complement predicator predicator complement 
40.10:2.w11-w13^predicator predicator complement 
40.10:2.w14-4.w11^conjunction complement definer definer definer definer definer definer qualifier qualifier qualifier qualifier definer definer definer definer definer definer definer definer definer definer definer definer definer qualifier qualifier qualifier qualifier qualifier definer definer definer definer definer definer predicator conjunction conjunction complement 
40.10:20.w1-w6^adjunct conjunction subject predicator predicator predicator 
40.10:20.w5-w6_2^predicator predicator 
40.10:20.w7-w16^conjunction subject subject qualifier qualifier qualifier predicator predicator adjunct adjunct 
40.10:20.w13-w16^predicator predicator adjunct adjunct 
40.10:21.w1-w6^predicator conjunction subject complement adjunct adjunct 
40.10:21.w7-w9^conjunction subject complement 
40.10:21.w10-w14^conjunction predicator subject adjunct adjunct 
40.10:21.w15-w17^conjunction predicator complement 
40.10:22.w1-w9^conjunction predicator predicator adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:22.w3-w9^predicator adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:22.w10_3^predicator 
40.10:22.w15-w16^subject predicator 
40.10:23.w1-w8^conjunction conjunction predicator complement adjunct adjunct adjunct adjunct 
40.10:23.w9-w12^predicator adjunct adjunct adjunct 
40.10:23.w13-w16^adjunct conjunction predicator complement 
40.10:23.w17-w23^adjunct adjunct predicator complement complement qualifier qualifier 
40.10:23.w24-w30^conjunction adjunct predicator subject subject qualifier qualifier 
40.10:24.w1-w6^adjunct predicator subject adjunct adjunct adjunct 
40.10:24.w7-w12^adjunct subject adjunct adjunct adjunct adjunct 
40.10:25.w1-w9^complement qualifier qualifier conjunction predicator adjunct adjunct adjunct adjunct 
40.10:25.w4-w9^conjunction predicator adjunct adjunct adjunct adjunct 
40.10:25.w10-w16^conjunction subject subject adjunct adjunct adjunct adjunct 
40.10:25.w17-w21^conjunction complement complement complement predicator 
40.10:25.w22-w26^adjunct adjunct complement complement complement 
40.10:26.w1-w4^adjunct conjunction predicator complement 
40.10:26.w5-w8^subject conjunction predicator predicator 
40.10:26.w8_2^predicator 
40.10:26.w9-w11^subject adjunct predicator 
40.10:26.w12-w13^conjunction complement 
40.10:26.w14-w16^subject adjunct predicator 
40.10:27.w1-w6^complement predicator complement adjunct adjunct adjunct 
40.10:27.w11-w20^conjunction complement adjunct adjunct adjunct predicator predicator adjunct adjunct adjunct 
40.10:27.w12-w16^complement adjunct adjunct adjunct predicator 
40.10:28.w1-w14^conjunction adjunct predicator predicator predicator predicator complement complement complement conjunction conjunction adjunct predicator predicator 
40.10:28.w4-w8^predicator predicator predicator complement complement 
40.10:28.w9-w14^complement conjunction conjunction adjunct predicator predicator 
40.10:28.w9^complement 
40.10:28.w14_2^predicator 
40.10:28.w15-w26^predicator conjunction adjunct predicator predicator complement complement complement complement predicator adjunct adjunct 
40.10:28.w18-w26^predicator predicator complement complement complement complement predicator adjunct adjunct 
40.10:28.w20-w26^complement complement complement complement predicator adjunct adjunct 
40.10:29.w1-w5^adjunct subject subject adjunct predicator 
40.10:29.w6-w18^conjunction subject relator relator adjunct predicator adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.10:30.w1-w10^qualifier conjunction adjunct adjunct adjunct qualifier qualifier qualifier predicator predicator 
40.10:30.w1_2^qualifier 
40.10:30.w9_2^predicator 
40.10:31.w1-w3^adjunct conjunction predicator 
40.10:31.w4-w7^adjunct adjunct predicator subject 
40.10:32.w1-w9^subject conjunction conjunction predicator adjunct adjunct adjunct adjunct adjunct 
40.10:32.w1^subject 
40.10:32.w10-w21^predicator subject adjunct adjunct adjunct adjunct adjunct adjunct definer relator relator relator 
40.10:33.w1-w8^subject conjunction adjunct predicator complement adjunct adjunct adjunct 
40.10:33.w9-w19^predicator subject complement adjunct adjunct adjunct adjunct definer relator relator relator 
40.10:34.w1-w2^adjunct predicator 
40.10:34.w3-w9^conjunction predicator predicator complement adjunct adjunct adjunct 
40.10:34.w5-w9^predicator complement adjunct adjunct adjunct 
40.10:34.w10-w13^adjunct predicator predicator complement 
40.10:34.w12-w13^predicator complement 
40.10:34.w14-w15^conjunction complement 
40.10:34.w15_2^complement 
40.10:35.w1-w20^predicator conjunction predicator complement adjunct adjunct adjunct adjunct conjunction complement adjunct adjunct adjunct adjunct conjunction complement adjunct adjunct adjunct adjunct 
40.10:35.w3-w8^predicator complement adjunct adjunct adjunct adjunct 
40.10:35.w9-w14^conjunction complement adjunct adjunct adjunct adjunct 
40.10:35.w15-w20^conjunction complement adjunct adjunct adjunct adjunct 
40.10:36.w1-w7^conjunction complement qualifier qualifier subject subject subject 
40.10:37.w1-w7^predicator predicator complement complement complement adjunct adjunct 
40.10:37.w12-w23^conjunction predicator predicator complement complement complement adjunct adjunct adjunct predicator complement complement 
40.10:37.w13-w19^predicator predicator complement complement complement adjunct adjunct 
40.10:38.w1-w15^conjunction subject adjunct predicator complement complement complement conjunction predicator adjunct adjunct adjunct predicator complement complement 
40.10:38.w2-w7^subject adjunct predicator complement complement complement 
40.10:38.w8-w11^conjunction predicator adjunct adjunct 
40.10:39.w1-w5^predicator predicator complement complement complement 
40.10:39.w8-w17^conjunction predicator predicator complement complement complement adjunct adjunct predicator complement 
40.10:39.w9-w15^predicator predicator complement complement complement adjunct adjunct 
40.10:4.w8-w11^predicator conjunction conjunction complement 
40.10:4.w8^predicator 
40.10:40.w1-w3^predicator predicator complement 
40.10:40.w6-w13^conjunction predicator complement complement predicator predicator predicator complement 
40.10:40.w7-w9^predicator complement complement 
40.10:40.w7^predicator 
40.10:40.w11-w13^predicator predicator complement 
40.10:41.w1-w6^predicator predicator complement adjunct adjunct adjunct 
40.10:41.w10-w19^conjunction predicator predicator complement adjunct adjunct adjunct complement complement predicator 
40.10:41.w11-w16^predicator predicator complement adjunct adjunct adjunct 
40.10:42.w1-w14^conjunction subject adjunct predicator complement qualifier qualifier qualifier complement complement adjunct adjunct adjunct adjunct 
40.10:42.w15-w17^adjunct predicator complement 
40.10:42.w18-w23^adjunct adjunct predicator complement complement complement 
40.10:5.w1-w9^complement complement complement subject predicator predicator predicator complement predicator 
40.10:5.w7-w9^predicator complement predicator 
40.10:5.w9_2^predicator 
40.10:5.w10-w14^adjunct adjunct adjunct adjunct predicator 
40.10:5.w15-w20^conjunction adjunct adjunct adjunct adjunct predicator 
40.10:6.w1-w10^predicator conjunction adjunct adjunct adjunct adjunct predicator predicator qualifier qualifier 
40.10:6.w7-w8_2^predicator predicator 
40.10:7.w1_2^predicator 
40.10:7.w4_2^predicator 
40.10:7.w5-w10^conjunction predicator subject subject qualifier qualifier 
40.10:8.w1_2^predicator 
40.10:8.w3-w4^complement predicator 
40.10:8.w5-w6^complement predicator 
40.10:8.w7-w8^complement predicator 
40.10:8.w9-w10^adjunct predicator 
40.10:8.w11-w12^adjunct predicator 
40.10:9.w1-w11^adjunct predicator complement complement complement complement complement adjunct adjunct adjunct adjunct 
40.11:1.w1-w2^conjunction predicator 
40.11:1.w3-w11^conjunction predicator subject subject predicator complement complement complement complement 
40.11:1.w7-w11^predicator complement complement complement complement 
40.11:1.w12-w21^predicator adjunct predicator predicator conjunction predicator adjunct adjunct adjunct adjunct 
40.11:1.w14-w15_2^predicator predicator 
40.11:1.w16-w21^conjunction predicator adjunct adjunct adjunct adjunct 
40.11:10.w1-w5^subject predicator adjunct adjunct predicator 
40.11:10.w3-w5^adjunct adjunct predicator 
40.11:10.w6_2^predicator 
40.11:10.w7-w14^subject predicator complement complement complement adjunct adjunct adjunct 
40.11:10.w15-w21^subject predicator complement complement complement adjunct adjunct 
40.11:11.w1-w3^adjunct predicator complement 
40.11:11.w4-w12^adjunct predicator adjunct adjunct adjunct subject qualifier definer definer 
40.11:11.w13-w23^subject conjunction conjunction relator relator relator qualifier qualifier complement complement predicator 
40.11:11.w13^subject 
40.11:12.w1-w14^adjunct conjunction conjunction conjunction qualifier definer definer adjunct adjunct subject subject qualifier qualifier predicator 
40.11:12.w1^adjunct 
40.11:12.w15-w18^conjunction subject predicator complement 
40.11:13.w1-w10^subject conjunction conjunction conjunction conjunction conjunction conjunction adjunct adjunct predicator 
40.11:13.w1_2^subject 
40.11:14.w1-w4^conjunction conjunction predicator predicator 
40.11:14.w4_2^predicator 
40.11:14.w5-w10^subject predicator complement predicator predicator predicator 
40.11:14.w8-w10^predicator predicator predicator 
40.11:14.w10_2^predicator 
40.11:15.w1-w3^predicator predicator complement 
40.11:16.w1-w6^complement conjunction predicator complement complement complement 
40.11:16.w7-w13^complement predicator qualifier predicator adjunct adjunct adjunct 
40.11:16.w7^complement 
40.11:16.w10-w13^predicator adjunct adjunct adjunct 
40.11:16.w14-17.w1^subject predicator complement complement predicator 
40.11:16.w15-w17^predicator complement complement 
40.11:17.w2-w3^predicator complement 
40.11:17.w4-w6^conjunction adjunct predicator 
40.11:17.w7_2^predicator 
40.11:17.w8-w10^conjunction adjunct predicator 
40.11:18.w1-w7^predicator conjunction subject adjunct predicator adjunct predicator 
40.11:18.w4-w5^adjunct predicator 
40.11:18.w6-w7^adjunct predicator 
40.11:18.w8-w9^conjunction predicator 
40.11:18.w10-w11^complement predicator 
40.11:19.w1-w8^predicator subject subject qualifier qualifier predicator conjunction predicator 
40.11:19.w6_2^predicator 
40.11:19.w7-w8^conjunction predicator 
40.11:19.w9-w10^conjunction predicator 
40.11:19.w11_2^predicator 
40.11:19.w12-w19_2^complement definer definer definer qualifier qualifier qualifier qualifier 
40.11:19.w16^qualifier 
40.11:19.w20-w27^conjunction predicator subject subject adjunct adjunct adjunct adjunct 
40.11:2.w1-3.w2^subject conjunction conjunction predicator adjunct adjunct adjunct complement complement qualifier qualifier predicator adjunct adjunct adjunct adjunct predicator complement 
40.11:2.w1^subject 
40.11:2.w4-w11^predicator adjunct adjunct adjunct complement complement qualifier qualifier 
40.11:2.w12-w16^predicator adjunct adjunct adjunct adjunct 
40.11:20.w1-w12^adjunct predicator predicator complement complement adjunct adjunct predicator subject subject subject subject 
40.11:20.w3-w12^predicator complement complement adjunct adjunct predicator subject subject subject subject 
40.11:20.w6-w12^adjunct adjunct predicator subject subject subject subject 
40.11:20.w13-w15^conjunction adjunct predicator 
40.11:21.w1-w3^subject complement addressee 
40.11:21.w4-w6^subject complement addressee 
40.11:21.w7-w19^conjunction conjunction adjunct adjunct adjunct adjunct predicator subject subject predicator predicator adjunct adjunct 
40.11:21.w16-w19^predicator predicator adjunct adjunct 
40.11:21.w20-w26^adjunct adjunct adjunct adjunct adjunct adjunct predicator 
40.11:22.w1-w3^conjunction predicator complement 
40.11:22.w4-w11^complement complement complement complement predicator adjunct adjunct adjunct 
40.11:22.w12-w13^conjunction complement 
40.11:23.w1-w7^conjunction subject addressee adjunct adjunct adjunct predicator 
40.11:23.w8-w10^adjunct adjunct predicator 
40.11:23.w11-w21^conjunction conjunction adjunct adjunct predicator subject subject predicator predicator adjunct adjunct 
40.11:23.w18-w21^predicator predicator adjunct adjunct 
40.11:23.w22-w26^predicator adjunct adjunct adjunct adjunct 
40.11:24.w1-w3^conjunction predicator complement 
40.11:24.w4-w11^conjunction complement complement complement predicator adjunct adjunct adjunct 
40.11:24.w12-w13^conjunction complement 
40.11:25.w1-w8^adjunct adjunct adjunct adjunct predicator subject subject predicator 
40.11:25.w5_2^predicator 
40.11:25.w9-w17^predicator complement addressee definer qualifier qualifier qualifier qualifier qualifier 
40.11:25.w18-w24^conjunction predicator complement adjunct adjunct adjunct adjunct 
40.11:25.w25-w28^conjunction predicator complement complement 
40.11:26.w1-w3^adjunct addressee addressee 
40.11:26.w4-w9^conjunction adjunct complement predicator adjunct adjunct 
40.11:27.w1-w7^subject complement predicator adjunct adjunct adjunct adjunct 
40.11:27.w8-w12^conjunction subject predicator complement complement 
40.11:27.w13-w16^conjunction adjunct subject subject 
40.11:27.w17-w21^conjunction complement complement subject predicator 
40.11:27.w22-w25^conjunction adjunct subject subject 
40.11:27.w26-w32^conjunction complement adjunct predicator subject subject predicator 
40.11:27.w27-w32^complement adjunct predicator subject subject predicator 
40.11:27.w32_2^predicator 
40.11:28.w1-w8^predicator adjunct adjunct subject predicator predicator conjunction predicator 
40.11:28.w5-w6_2^predicator predicator 
40.11:28.w7-w8^conjunction predicator 
40.11:28.w9-w11^subject predicator complement 
40.11:29.w1-w6^predicator complement complement complement adjunct adjunct 
40.11:29.w7-w10^conjunction predicator adjunct adjunct 
40.11:29.w11-w17^conjunction complement predicator predicator predicator relator relator 
40.11:29.w12_2^complement 
40.11:29.w18-w23^conjunction predicator complement complement complement complement 
40.11:3.w3-w6^subject predicator predicator predicator 
40.11:3.w5-w6_2^predicator predicator 
40.11:3.w7-w9^conjunction complement predicator 
40.11:30.w1-w5^subject conjunction conjunction conjunction complement 
40.11:30.w1^subject 
40.11:30.w6-w11^conjunction subject subject subject complement predicator 
40.11:4.w1-w6^conjunction predicator subject subject predicator complement 
40.11:4.w2_2^predicator 
40.11:4.w7_2^predicator 
40.11:4.w10-w11^complement predicator 
40.11:4.w12-w13^conjunction predicator 
40.11:5.w1-w2^subject predicator 
40.11:5.w3-w5^conjunction subject predicator 
40.11:5.w6-w7^subject predicator 
40.11:5.w8-w10^conjunction subject predicator 
40.11:5.w11-w13^conjunction subject predicator 
40.11:5.w14-w16^conjunction subject predicator 
40.11:6.w1-w9^conjunction complement predicator subject adjunct adjunct predicator adjunct adjunct 
40.11:6.w4-w9^subject adjunct adjunct predicator adjunct adjunct 
40.11:7.w1-w3^subject conjunction predicator 
40.11:7.w4-w11^predicator subject subject predicator complement complement adjunct adjunct 
40.11:7.w7-w11^predicator complement complement adjunct adjunct 
40.11:7.w12_2^complement 
40.11:7.w18-w21_2^complement adjunct adjunct predicator 
40.11:7.w19-w21^adjunct adjunct predicator 
40.11:8.w1-w4^conjunction complement predicator predicator 
40.11:8.w2_2^complement 
40.11:8.w5-w8_2^complement adjunct adjunct predicator 
40.11:8.w6-w8^adjunct adjunct predicator 
40.11:8.w9_2^predicator 
40.11:8.w10-w13^predicator complement complement complement 
40.11:8.w10^predicator 
40.11:9.w1-w4^conjunction complement predicator predicator 
40.11:9.w2_2^complement 
40.11:9.w5_2^complement 
40.11:9.w6-w8^adjunct predicator complement 
40.11:9.w9-w11^conjunction complement complement 
40.12:1.w1-w12^adjunct adjunct adjunct adjunct predicator subject subject adjunct adjunct adjunct adjunct adjunct 
40.12:1.w13-w17^subject conjunction conjunction conjunction predicator 
40.12:1.w13^subject 
40.12:1.w18-w23^conjunction predicator predicator complement conjunction predicator 
40.12:1.w20-w21^predicator complement 
40.12:1.w22-w23^conjunction predicator 
40.12:10.w1-w2^conjunction predicator 
40.12:10.w3-w6_2^subject complement predicator predicator 
40.12:10.w4-w6^complement predicator predicator 
40.12:10.w4^complement 
40.12:10.w7-w10^conjunction predicator complement predicator 
40.12:10.w10_2^predicator 
40.12:10.w11-w15^conjunction predicator adjunct adjunct predicator 
40.12:10.w15_2^predicator 
40.12:10.w16-w18^conjunction predicator complement 
40.12:11.w1-w4^subject conjunction predicator complement 
40.12:11.w5-w9^subject predicator adjunct adjunct adjunct 
40.12:11.w5^subject 
40.12:11.w10-w13^subject predicator complement complement 
40.12:11.w14-w21^conjunction conjunction predicator subject adjunct adjunct adjunct adjunct 
40.12:11.w22-w24^adjunct predicator complement 
40.12:11.w25-w26^conjunction predicator 
40.12:12.w1-w5^adjunct conjunction predicator subject adjunct 
40.12:12.w6-w11^conjunction predicator adjunct adjunct adjunct predicator 
40.12:12.w10-w11^adjunct predicator 
40.12:13.w1-w4^adjunct predicator complement complement 
40.12:13.w5-w8^predicator complement complement complement 
40.12:13.w9-w10^conjunction predicator 
40.12:13.w11-w16^conjunction predicator adjunct adjunct adjunct adjunct 
40.12:14.w1_2^predicator 
40.12:14.w9-w11^conjunction complement predicator 
40.12:15.w1-w6^subject conjunction conjunction predicator predicator adjunct 
40.12:15.w1^subject 
40.12:15.w4_2^predicator 
40.12:15.w7-w11^conjunction predicator complement subject subject 
40.12:15.w12-w15^conjunction predicator complement complement 
40.12:16.w1-w3^conjunction predicator complement 
40.12:16.w4-w8^conjunction adjunct complement complement predicator 
40.12:17.w1-w9^conjunction predicator predicator predicator adjunct adjunct definer definer predicator 
40.12:17.w3-w9^predicator predicator adjunct adjunct definer definer predicator 
40.12:17.w9_2^predicator 
40.12:18.w1_2^predicator 
40.12:18.w2-w4_2^subject subject subject 
40.12:18.w5-w6^complement predicator 
40.12:18.w7-w9_2^subject subject subject 
40.12:18.w10-w15^adjunct adjunct predicator subject subject subject 
40.12:18.w16-w21^predicator complement complement complement adjunct adjunct 
40.12:18.w22-w26^conjunction complement complement complement predicator 
40.12:19.w1-w2^adjunct predicator 
40.12:19.w3-w4^adjunct predicator 
40.12:19.w5-w13^adjunct predicator subject adjunct adjunct adjunct complement complement complement 
40.12:2.w1-w6^subject conjunction conjunction predicator predicator complement 
40.12:2.w1^subject 
40.12:2.w4_2^predicator 
40.12:2.w7_2^predicator 
40.12:2.w8-w17^subject subject subject predicator complement adjunct predicator predicator adjunct adjunct 
40.12:2.w12_2^complement 
40.12:20.w1-w4^complement predicator adjunct predicator 
40.12:20.w2_2^predicator 
40.12:20.w5-w9^conjunction complement predicator adjunct predicator 
40.12:20.w7_2^predicator 
40.12:20.w10-w16^conjunction adjunct predicator adjunct adjunct complement complement 
40.12:21.w1-w6^conjunction adjunct adjunct adjunct subject predicator 
40.12:22.w1-w7^adjunct predicator complement predicator definer definer definer 
40.12:22.w4_2^predicator 
40.12:22.w8-w10^conjunction predicator complement 
40.12:22.w11-w14^conjunction subject subject predicator 
40.12:22.w15-w16^conjunction predicator 
40.12:23.w1-w5^conjunction predicator subject subject subject 
40.12:23.w6-w7^conjunction predicator 
40.12:23.w8-w13^adjunct subject predicator complement complement complement 
40.12:24.w1-w5^subject conjunction conjunction predicator predicator 
40.12:24.w1^subject 
40.12:24.w4_2^predicator 
40.12:24.w6-w10^subject adjunct predicator complement complement 
40.12:24.w11-w18^conjunction adjunct adjunct adjunct adjunct definer qualifier qualifier 
40.12:25.w1_2^predicator 
40.12:25.w8-w13^subject subject predicator adjunct adjunct predicator 
40.12:25.w10-w12^predicator adjunct adjunct 
40.12:25.w14-w23^conjunction subject subject subject subject predicator adjunct adjunct adjunct predicator 
40.12:25.w19-w21^predicator adjunct adjunct 
40.12:26.w1-w7^conjunction conjunction subject subject complement complement predicator 
40.12:26.w8-w10^adjunct adjunct predicator 
40.12:26.w11-w16^adjunct conjunction predicator subject subject subject 
40.12:27.w1-w8^conjunction conjunction subject adjunct adjunct predicator complement complement 
40.12:27.w9-w14^subject subject subject adjunct adjunct predicator 
40.12:27.w15-w20^adjunct adjunct subject complement predicator predicator 
40.12:27.w18^complement 
40.12:28.w1-w9^conjunction conjunction adjunct adjunct adjunct subject predicator complement complement 
40.12:28.w10-w17^adjunct predicator adjunct adjunct subject subject qualifier qualifier 
40.12:29.w1-w15^conjunction adjunct predicator subject predicator adjunct adjunct adjunct qualifier qualifier conjunction complement complement complement predicator 
40.12:29.w5-w10^predicator adjunct adjunct adjunct qualifier qualifier 
40.12:29.w11-w15^conjunction complement complement complement predicator 
40.12:29.w16-w21^conjunction adjunct adjunct predicator complement complement 
40.12:29.w22-w27^conjunction adjunct complement complement complement predicator 
40.12:3.w1-w4^subject conjunction predicator complement 
40.12:3.w5-w6^adjunct predicator 
40.12:3.w7-w9^complement predicator subject 
40.12:3.w10-w11^conjunction predicator 
40.12:3.w12-w15^conjunction subject relator relator 
40.12:30.w1-w5^predicator adjunct adjunct adjunct adjunct 
40.12:30.w1^predicator 
40.12:30.w9-w15^conjunction predicator adjunct adjunct adjunct adjunct predicator 
40.12:30.w10-w14^predicator adjunct adjunct adjunct adjunct 
40.12:30.w10^predicator 
40.12:31.w1-w4^adjunct adjunct predicator complement 
40.12:31.w5-w11^subject subject subject subject predicator complement complement 
40.12:31.w12-w18^subject conjunction qualifier qualifier qualifier adjunct predicator 
40.12:31.w12^subject 
40.12:32.w1-w10^conjunction subject adjunct predicator complement complement complement complement qualifier qualifier 
40.12:32.w11-w12^predicator complement 
40.12:32.w13-w21^subject conjunction adjunct predicator adjunct adjunct adjunct definer definer 
